scenario,series,alpha_rad_or_coefficient,value
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.011055276381909562,192.32339894084936
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.013065326633165841,220.57304641343038
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.01507537688442212,246.92138566447204
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.0170854271356784,271.43465761561475
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.01909547738693468,294.17906794267316
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.021105527638190957,315.22079242424303
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.023115577889447236,334.62598229079225
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.025125628140703515,352.4607695749036
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.027135678391959822,368.7912724633362
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.0291457286432161,383.6836006515747
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.03115577889447238,397.2038607015352
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.03316582914572866,409.4181614030968
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.03517587939698494,420.39261914013133
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.03718592964824122,430.193363261702
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.039195979899497496,438.8865414591059
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.041206030150753775,446.5383251494342
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.043216080402010054,453.21491486632726
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.04522613065326633,458.9825456586031
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.04723618090452264,463.90749249743715
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.04924623115577892,468.0560756927785
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.0512562814070352,471.4946663196845
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.05326633165829148,474.28969165526036
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.055276381909547756,476.50764062689143
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.057286432160804035,478.21506927246236
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.059296482412060314,479.478606213252
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.06130653266331659,480.3649581402042
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.06331658291457287,480.94091531427176
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.06532663316582915,481.2733570815365
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.06733668341708543,481.42925740380906
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.06934673366834171,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.07135678391959799,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.07336683417085427,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.07537688442211055,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.07738693467336683,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.07939698492462316,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.08140703517587944,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.08341708542713572,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.085427135678392,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.08743718592964828,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.08944723618090455,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.09145728643216083,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.09346733668341711,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.09547738693467339,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.09748743718592967,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.09949748743718595,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.10150753768844223,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.10351758793969851,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.10552763819095479,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.10753768844221107,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.10954773869346734,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.11155778894472362,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.1135678391959799,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.11557788944723618,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.11758793969849246,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.11959798994974874,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.12160804020100507,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.12361809045226135,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.12562814070351763,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.1276381909547739,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.1296482412060302,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.13165829145728647,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.13366834170854275,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.13567839195979903,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.1376884422110553,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.13969849246231159,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.14170854271356786,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.14371859296482414,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.14572864321608042,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.1477386934673367,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.14974874371859298,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.15175879396984926,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.15376884422110554,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.15577889447236182,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.1577889447236181,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.15979899497487438,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.16180904522613065,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.16381909547738693,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.16582914572864327,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.16783919597989955,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.16984924623115583,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.1718592964824121,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.17386934673366838,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.17587939698492466,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.17788944723618094,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.17989949748743722,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.1819095477386935,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.18391959798994978,481.46500872360156
