scenario,t_run_s,e_y_m,heading_error_rad,v_x_mps,mpc_solve_time_ms
Excitation-S4D-Pinn-decay-mu,1.6375555992126465,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.7168846130371094,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.796891212463379,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.8770039081573486,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.9570226669311523,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.0368881225585938,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.116931438446045,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.197441816329956,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.276744842529297,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.3571372032165527,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.437100648880005,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.5170323848724365,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.5968291759490967,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.6771457195281982,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.7569169998168945,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.837001085281372,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,2.917025566101074,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,3.3006439208984375,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,3.377424955368042,2.628001965680915,0.010797652282772963,,
Excitation-S4D-Pinn-decay-mu,3.456705331802368,2.6279717085861307,0.010795987807091345,,
Excitation-S4D-Pinn-decay-mu,3.5380077362060547,2.628074388666258,0.010791793328374434,,
Excitation-S4D-Pinn-decay-mu,3.6171529293060303,2.628177068746386,0.01078466937245881,,
Excitation-S4D-Pinn-decay-mu,3.696615695953369,2.628223101471444,0.01077528172961617,,
Excitation-S4D-Pinn-decay-mu,3.7769839763641357,2.62806506820201,0.010776213835997694,,
Excitation-S4D-Pinn-decay-mu,3.8570005893707275,2.628168673158975,0.011618438530735298,,
Excitation-S4D-Pinn-decay-mu,3.937429189682007,2.628841756275465,0.013496965784649873,,
Excitation-S4D-Pinn-decay-mu,4.017266035079956,2.6297196142932364,0.015227953914174086,,
Excitation-S4D-Pinn-decay-mu,4.09735107421875,2.630036731011276,0.014509566210125224,,
Excitation-S4D-Pinn-decay-mu,4.1775617599487305,2.628530395743781,0.009325323674122752,,
Excitation-S4D-Pinn-decay-mu,4.256944894790649,2.625304182122132,0.00026012306057454637,,
Excitation-S4D-Pinn-decay-mu,4.3367204666137695,2.617265334652878,-0.014519622041038181,,
Excitation-S4D-Pinn-decay-mu,4.417135953903198,2.6022611085200498,-0.03725351931754072,,
Excitation-S4D-Pinn-decay-mu,4.496791362762451,2.58426285024466,-0.05819615207673323,,
Excitation-S4D-Pinn-decay-mu,4.577442407608032,2.558337643377396,-0.08564954791089674,,
Excitation-S4D-Pinn-decay-mu,4.656890869140625,2.5124575504988758,-0.11909951699256438,,
Excitation-S4D-Pinn-decay-mu,4.737492084503174,2.4628748835673004,-0.140072310051102,,
Excitation-S4D-Pinn-decay-mu,4.817043781280518,2.400827063420498,-0.17570161043180885,,
Excitation-S4D-Pinn-decay-mu,4.897237539291382,2.300294525705835,-0.21117678036442744,,
Excitation-S4D-Pinn-decay-mu,4.977031946182251,2.2007261104944753,-0.23763344579015222,,
Excitation-S4D-Pinn-decay-mu,5.057137966156006,2.0814448698550434,-0.26041758786410724,,
Excitation-S4D-Pinn-decay-mu,5.136734485626221,1.9068823799512435,-0.2851731349349932,,
Excitation-S4D-Pinn-decay-mu,5.216799736022949,1.747751722213952,-0.29750037498875204,,
Excitation-S4D-Pinn-decay-mu,5.296835422515869,1.6177623503947627,-0.30447219071836706,,
Excitation-S4D-Pinn-decay-mu,5.377591609954834,1.3394520091885993,-0.305279661160879,,
Excitation-S4D-Pinn-decay-mu,5.45694375038147,1.135478580104446,-0.29730469211858235,,
