scenario,signal,t_run_s,value
Excitation-S4D-Pinn,e_y_m,8.672464609146118,-0.00784877955714769
Excitation-S4D-Pinn,e_y_m,8.752542972564697,-0.008491401697041823
Excitation-S4D-Pinn,e_y_m,8.832591772079468,-0.0069743150779771335
Excitation-S4D-Pinn,e_y_m,8.912634134292603,-0.0027385425869491803
Excitation-S4D-Pinn,e_y_m,8.992608547210693,0.007020816855250189
Excitation-S4D-Pinn,e_y_m,9.07247805595398,0.012555537147563467
Excitation-S4D-Pinn,e_y_m,9.152393817901611,0.009632586695032919
Excitation-S4D-Pinn,e_y_m,9.232666254043579,0.0023684611546752055
Excitation-S4D-Pinn,e_y_m,9.312587261199951,-0.011061433516804942
Excitation-S4D-Pinn,e_y_m,9.39327073097229,-0.01692215013992099
Excitation-S4D-Pinn,e_y_m,9.472700357437134,-0.019855490501132
Excitation-S4D-Pinn,e_y_m,9.55254340171814,-0.01925749714808797
Excitation-S4D-Pinn,e_y_m,9.632628917694092,-0.013687437688378733
Excitation-S4D-Pinn,e_y_m,9.714060306549072,-0.005487869028836648
Excitation-S4D-Pinn,e_y_m,9.79256272315979,-0.0003853748861401829
Excitation-S4D-Pinn,e_y_m,9.873425006866455,0.004061986730848788
Excitation-S4D-Pinn,e_y_m,9.952759981155396,0.0056032555816842855
Excitation-S4D-Pinn,e_y_m,10.032677173614502,0.005076801205309622
Excitation-S4D-Pinn,e_y_m,10.11370062828064,0.003324893810103091
Excitation-S4D-Pinn,e_y_m,10.192408800125122,0.0005861406985595563
Excitation-S4D-Pinn,e_y_m,10.272632122039795,-0.001866995591300269
Excitation-S4D-Pinn,e_y_m,10.352604627609253,-0.003210984476699874
Excitation-S4D-Pinn,e_y_m,10.432696342468262,-0.004081272498429114
Excitation-S4D-Pinn,e_y_m,10.512589931488037,-0.003726058711813085
Excitation-S4D-Pinn,e_y_m,10.592530012130737,-0.002732918024778125
Excitation-S4D-Pinn,e_y_m,10.672492027282715,-0.001526999659186623
Excitation-S4D-Pinn,e_y_m,10.752521753311157,-0.0007875782842606538
Excitation-S4D-Pinn,e_y_m,10.833003997802734,0.0002494582393743894
Excitation-S4D-Pinn,e_y_m,10.91249942779541,0.00049658539440528
Excitation-S4D-Pinn,e_y_m,10.992958307266235,0.0003170500454344194
Excitation-S4D-Pinn,e_y_m,11.072503089904785,-0.0001546137755535637
Excitation-S4D-Pinn,e_y_m,11.15254831314087,-0.0008378132070993721
Excitation-S4D-Pinn,e_y_m,11.232646703720093,-0.001336250837663644
Excitation-S4D-Pinn,e_y_m,11.312804460525513,-0.001516114371978905
Excitation-S4D-Pinn,e_y_m,11.392930746078491,-0.0016428782781387485
Excitation-S4D-Pinn,e_y_m,11.472588062286377,-0.0014922817876668604
Excitation-S4D-Pinn,e_y_m,11.552506446838379,-0.001055080474617054
Excitation-S4D-Pinn,e_y_m,11.632403135299683,-0.0005132678821131442
Excitation-S4D-Pinn,e_y_m,11.712517499923706,-0.00010762821378290655
Excitation-S4D-Pinn,e_y_m,11.792495012283325,0.00036012127637768607
Excitation-S4D-Pinn,e_y_m,11.87266206741333,0.000513412704848698
Excitation-S4D-Pinn,e_y_m,11.952459335327148,0.0006736211570241291
Excitation-S4D-Pinn,e_y_m,12.03259563446045,0.0007567920400385897
Excitation-S4D-Pinn,e_y_m,12.112516403198242,0.0009201467179431599
Excitation-S4D-Pinn,e_y_m,12.19318437576294,0.0011975715730990766
Excitation-S4D-Pinn,e_y_m,12.27240252494812,0.0013487612915631941
Excitation-S4D-Pinn,e_y_m,12.352667093276978,0.0015409917202439723
Excitation-S4D-Pinn,e_y_m,12.432385921478271,0.0018119997496962997
Excitation-S4D-Pinn,e_y_m,12.512366533279419,0.0019662101691879375
Excitation-S4D-Pinn,e_y_m,12.592499256134033,0.002269937701442959
Excitation-S4D-Pinn,e_y_m,12.672632694244385,0.0024056766409983887
Excitation-S4D-Pinn,e_y_m,12.752437829971313,0.0026530900492723053
Excitation-S4D-Pinn,e_y_m,12.832610845565796,0.00288881707331147
Excitation-S4D-Pinn,e_y_m,12.912474155426025,0.0031196228169384256
Excitation-S4D-Pinn,e_y_m,12.992631435394287,0.0032364873358001894
Excitation-S4D-Pinn,e_y_m,13.072491645812988,0.0033527664476926122
Excitation-S4D-Pinn,e_y_m,13.15255069732666,0.0033622806748765804
Excitation-S4D-Pinn,e_y_m,13.232598066329956,0.0032779093343359433
Excitation-S4D-Pinn,e_y_m,13.312678098678589,0.0031528157193913553
Excitation-S4D-Pinn,e_y_m,13.39250659942627,0.0027318689617740755
Excitation-S4D-Pinn,e_y_m,13.472328424453735,0.0022922416320713124
Excitation-S4D-Pinn,e_y_m,13.552865505218506,0.0018499744258780315
Excitation-S4D-Pinn,e_y_m,13.63298487663269,0.0012260211092735562
Excitation-S4D-Pinn,e_y_m,13.712616920471191,0.0008712660746494211
Excitation-S4D-Pinn,e_y_m,13.793212652206421,0.0003628400506412851
Excitation-S4D-Pinn,e_y_m,13.87242341041565,0.00012461468228422423
Excitation-S4D-Pinn,e_y_m,13.952542543411255,5.950548669497735e-05
Excitation-S4D-Pinn,e_y_m,14.032520055770874,-1.4750104766980687e-05
Excitation-S4D-Pinn,e_y_m,14.113892316818237,-0.0001624838341585111
Excitation-S4D-Pinn,e_y_m,14.192538976669312,-0.0003992081252314761
Excitation-S4D-Pinn,e_y_m,14.272478818893433,-0.0005691501030898327
Excitation-S4D-Pinn,e_y_m,14.352542877197266,-0.0008466562526071386
Excitation-S4D-Pinn,e_y_m,14.432548999786377,-0.0013651535825164596
Excitation-S4D-Pinn,e_y_m,14.51254916191101,-0.0015702173899586613
Excitation-S4D-Pinn,e_y_m,14.592438459396362,-0.0016138033224687987
Excitation-S4D-Pinn,e_y_m,14.67257571220398,-0.00012614822947687454
Excitation-S4D-Pinn,e_y_m,14.752415180206299,0.001743388577449989
Excitation-S4D-Pinn,e_y_m,14.832577228546143,0.004342787785101387
Excitation-S4D-Pinn,e_y_m,14.913356065750122,0.006581583063893854
Excitation-S4D-Pinn,e_y_m,14.992724895477295,0.009034951509911904
