scenario,series,alpha_rad_or_coefficient,value
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.0030150753768844185,60.26718988139748
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.005025125628140725,99.01245808084333
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.007035175879397004,136.63116337353517
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.009045226130653283,173.1401730247906
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.011055276381909562,208.55632124824592
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.013065326633165841,242.89641055240094
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.01507537688442212,276.17721308532293
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.0170854271356784,308.415471977676
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.01909547738693468,339.62790268424277
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.021105527638190957,369.8311943241052
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.023115577889447236,399.04201101965145
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.025125628140703515,427.27699323457585
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.027135678391959822,454.55275911103655
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.0291457286432161,480.885905806139
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.03115577889447238,506.29301082791363
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.03316582914572866,530.7906333709504
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.03517587939698494,554.3953156518598
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.03718592964824122,577.1235842447267
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.039195979899497496,598.9919514167249
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.041206030150753775,620.0169164640578
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.043216080402010054,640.2149670483949
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.04522613065326633,659.6025805339709
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.04723618090452264,678.1962253255163
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.04924623115577892,696.0123622071845
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.0512562814070352,713.0674456826529
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.05326633165829148,729.3779253165561
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.055276381909547756,744.9602470774286
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.057286432160804035,759.830854682325
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.059296482412060314,774.0061909432878
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.06130653266331659,787.502699115834
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.06331658291457287,800.3368242496331
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.06532663316582915,812.525014541547
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.06733668341708543,824.0837226912076
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.06934673366834171,835.0294072593024
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.07135678391959799,845.3785340287438
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.07336683417085427,855.1475773688984
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.07537688442211055,864.3530216030492
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.07738693467336683,873.011362379269
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.07939698492462316,881.1391080448833
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.08140703517587944,888.7527810246964
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.08341708542713572,895.868919203167
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.085427135678392,902.5040773107054
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.08743718592964828,908.6748283142791
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.08944723618090455,914.3977648125057
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.09145728643216083,919.6895004354175
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.09346733668341711,924.566671249081
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.09547738693467339,929.0459371652557
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.09748743718592967,933.1439833562827
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.09949748743718595,936.8775216753811
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.10150753768844223,940.2632920825561
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.10351758793969851,943.3180640762889
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.10552763819095479,946.0586381312212
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.10753768844221107,948.5018471420051
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.10954773869346734,950.6645578735342
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.11155778894472362,952.56367241773
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.1135678391959799,954.2161296570976
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.11557788944723618,955.6389067352377
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.11758793969849246,956.8490205345211
