scenario,signal,t_s,error_est_minus_gt
ours,v_y,59.796,0.0012512965920982722
ours,v_y,59.961,0.000985425833060903
ours,v_y,60.126,0.0004927070201597578
ours,v_y,60.258,-0.0012023489048006708
ours,v_y,60.423,-0.001866735709550947
ours,v_y,60.555,-0.002206621106521177
ours,v_y,60.687,-0.0012981153342510755
ours,v_y,60.819,-0.004491506775617018
ours,v_y,60.951,-0.0031901006257005846
ours,v_y,61.083,-0.0028720135816032825
ours,v_y,61.215,-0.0029753331325408465
ours,v_y,61.38,-0.0045346403478394096
ours,v_y,61.512,-0.005193987046684299
ours,v_y,61.644,-0.006936401001782236
ours,v_y,61.776,-0.00652370713234858
ours,v_y,61.908,-0.006941577294596504
ours,v_y,62.04,-0.007508025971081106
ours,v_y,62.172,-0.008854138278343263
ours,v_y,62.304,-0.011578425977970708
ours,v_y,62.436,-0.011971665543166199
ours,v_y,62.568,-0.012594397342629071
ours,v_y,62.7,-0.014890158810456744
ours,v_y,62.832,-0.018483869164191424
ours,v_y,62.964,-0.018998847451432987
ours,v_y,63.129,-0.040079942432682536
ours,v_y,63.294,-0.020796868739359264
ours,v_y,63.426,-0.02218171788162976
ours,v_y,63.558,-0.020503787047774336
ours,v_y,63.69,-0.01966774504785984
ours,v_y,63.822,-0.02101074747487669
ours,v_y,63.954,-0.02131802628832663
ours,v_y,64.086,-0.019954253952616907
ours,v_y,64.218,-0.02488711263249488
ours,v_y,64.35,-0.02140506541759163
ours,v_y,64.482,-0.02355680036301694
ours,v_y,64.614,-0.033001182769077486
ours,v_y,64.746,-0.02469799176297871
ours,v_y,64.878,-0.023782235544416053
ours,v_y,65.01,-0.03558096241943687
ours,v_y,65.142,-0.03632877550710423
ours,v_y,65.307,-0.04634710714343715
ours,v_y,65.439,-0.04274364846259793
ours,v_y,65.604,-0.04899037107462634
ours,v_y,65.736,-0.03152386619700126
ours,v_y,65.868,-0.022243806337001515
ours,v_y,66.0,-0.009701960717355906
ours,v_y,66.132,-0.0017969649038678884
ours,v_y,66.264,0.0052985304121859755
ours,v_y,66.396,0.007219272826340925
ours,v_y,66.528,0.0036815354007752876
ours,v_y,66.66,0.007127844002827524
ours,v_y,66.792,0.0083843704953308
ours,v_y,66.924,0.006794639506959833
ours,v_y,67.056,0.0030795082332949683
ours,v_y,67.188,0.0029594567750762663
ours,v_y,67.32,0.004711206438095181
ours,v_y,67.452,0.005619412989598074
ours,v_y,67.584,0.007510914127305562
ours,v_y,67.716,0.0067500100312722355
ours,v_y,67.848,0.00878562365679833
ours,v_y,67.98,0.009254313796091512
ours,v_y,68.112,0.010862329374564439
ours,v_y,68.244,0.013809259056787149
ours,v_y,68.376,0.01884772970682247
ours,v_y,68.508,0.021932932227696877
ours,v_y,68.64,0.03006292539931088
ours,v_y,68.772,0.0251873706046436
ours,v_y,68.904,0.0295009915953528
ours,v_y,69.036,0.031867945456165
ours,v_y,69.168,0.03076795620106132
ours,v_y,69.3,0.03356931846462774
ours,v_y,69.465,0.07058087387172873
ours,v_y,69.597,0.033201547699164835
ours,v_y,69.729,0.033023650616168965
ours,v_y,69.861,0.03558142522009311
ours,v_y,69.993,0.030661841258729283
ours,v_y,70.125,0.032965738631402175
ours,v_y,70.257,0.027472747329614466
ours,v_y,70.389,0.027177177729565682
ours,v_y,70.521,0.02501390751019794
ours,v_y,70.653,0.025213727853179435
ours,v_y,70.818,0.026458168775005175
ours,v_y,70.95,0.029536906652877226
ours,v_y,71.115,0.03007065691784727
ours,v_y,71.247,0.025769555270240774
ours,v_y,71.379,0.021841088330457226
ours,v_y,71.511,0.02060445488479673
ours,v_y,71.643,0.018945815989884374
ours,v_y,71.775,0.01929830060456783
ours,v_y,71.907,0.013904270682512043
ours,v_y,72.039,0.013517743669068993
ours,v_y,72.171,0.011814940566665766
ours,v_y,72.303,0.012641815785294164
ours,v_y,72.501,0.0237237578864557
ours,v_y,72.633,0.008147063564510115
ours,v_y,72.765,0.01088955210933093
ours,v_y,72.897,0.003256668029980654
ours,v_y,73.029,-0.0027473823578660628
ours,v_y,73.161,-0.005875131251985785
ours,v_y,73.293,-0.00902247370044712
ours,v_y,73.425,-0.012070700180760507
ours,v_y,73.557,-0.011860865010174693
ours,v_y,73.689,-0.01128258487881989
ours,v_y,73.821,-0.010432611619717869
ours,v_y,73.986,-0.012953368154183464
ours,v_y,74.118,-0.013728305359707704
ours,v_y,74.25,-0.015082451169471656
ours,v_y,74.382,-0.015304870221481803
ours,v_y,74.514,-0.013103906661716902
ours,v_y,74.646,-0.014448386559997806
ours,v_y,74.778,-0.024407229185307522
ours,v_y,74.91,-0.020158868616613035
ours,v_y,75.042,-0.018829109784175624
ours,v_y,75.174,-0.020653100769644994
ours,v_y,75.306,-0.017188378858975478
ours,v_y,75.438,-0.020368161470453172
ours,v_y,75.57,-0.018001839577430345
ours,v_y,75.702,-0.01758545868413966
ours,v_y,75.834,-0.01951552926138389
ours,v_y,75.966,-0.012721971281154043
ours,v_y,76.098,-0.022547312157188748
ours,v_y,76.263,-0.02342858502845424
ours,v_y,76.395,-0.029748969328251995
ours,v_y,76.56,-0.02630865055811149
ours,v_y,76.725,-0.027517413313014383
ours,v_y,76.89,-0.05239667065099585
ours,v_y,77.022,-0.026195446179464787
ours,v_y,77.154,-0.030987441609680477
ours,v_y,77.286,-0.03362851796232058
ours,v_y,77.418,-0.032973707702479205
ours,v_y,77.55,-0.04746410928840339
ours,v_y,77.682,-0.0379674870429042
ours,v_y,77.814,-0.025797592939244884
ours,v_y,77.946,-0.02769665952364453
ours,v_y,78.078,-0.01778213762256775
ours,v_y,78.21,-0.014881462398167233
ours,v_y,78.342,-0.017301977996772744
ours,v_y,78.506999,-0.01866451456903373
ours,v_y,78.639,-0.019369310759059455
ours,v_y,78.771,-0.02879031408248367
ours,v_y,78.903,-0.018169391786487882
ours,v_y,79.035,-0.01684084693479787
ours,v_y,79.167,-0.014712670258467508
ours,v_y,79.332,-0.012463894979225398
ours,v_y,79.464,-0.010116201085447737
ours,v_y,79.596,-0.00653606377922239
ours,v_y,79.728,-0.004708786566051677
ours,v_y,79.86,-0.0013571613889730143
ours,v_y,79.992,0.0008699287635916039
ours,v_y,80.124,0.003557423994435531
ours,v_y,80.256,0.005378516111684238
ours,v_y,80.388,0.006550000934894412
ours,v_y,80.52,0.008513277047054055
ours,v_y,80.652,0.008623878103731122
ours,v_y,80.784,0.013662517438391475
ours,v_y,80.916,0.017551970413612616
ours,v_y,81.048,0.01907730183413686
ours,v_y,81.18,0.02279135246457098
ours,v_y,81.312,0.02122589774991379
ours,v_y,81.444,0.02316061115291368
ours,v_y,81.575999,0.023690595673836967
ours,v_y,81.708,0.025039380589886973
ours,v_y,81.873,0.027337484519217803
ours,v_y,82.005,0.027249922504625046
ours,v_y,82.137,0.031948846080420756
ours,v_y,82.269,0.029478689427111404
ours,v_y,82.434,0.03545428576571369
ours,v_y,82.566,0.03434209868783339
ours,v_y,82.697999,0.036166344254224714
ours,v_y,82.83,0.038015958766493774
ours,v_y,82.962,0.03673594007275516
ours,v_y,83.094,0.032913406419827484
ours,v_y,83.226,0.031096430859796298
ours,v_y,83.358,0.03532818276957472
ours,v_y,83.49,0.02099245213305556
ours,v_y,83.622,0.018284341652596015
ours,v_y,83.753999,0.025510983713722735
ours,v_y,83.886,0.017851183154252326
ours,v_y,84.018,0.024516125141287592
ours,v_y,84.15,0.030917598435429183
ours,v_y,84.282,0.03579136468585936
ours,v_y,84.414,0.034502890519952145
ours,v_y,84.546,0.03597605663701875
ours,v_y,84.677999,0.03147034824480299
ours,v_y,84.809999,0.03393576052358205
ours,v_y,84.942,0.020678908201246515
ours,v_y,85.074,0.00891667906988447
ours,v_y,85.206,0.02844599983498952
ours,v_y,85.338,0.03475844777417114
ours,v_y,85.47,0.03428959087994565
ours,v_y,85.602,0.03318230356120999
ours,v_y,85.733999,0.03535888751998162
ours,v_y,85.865999,0.03938577751437977
ours,v_y,85.998,0.035142475250593885
ours,v_y,86.13,0.032290644943080926
ours,v_y,86.262,0.026467507710561444
ours,v_y,86.394,0.02363470555541397
ours,v_y,86.526,0.022891274808793494
ours,v_y,86.658,0.022006979472108223
ours,v_y,86.789999,0.021478176726229092
ours,v_y,86.921999,0.011815324542912065
ours,v_y,87.054,0.021544453002417863
ours,v_y,87.186,0.025153892497521924
ours,v_y,87.351,0.027062969496583544
ours,v_y,87.483,0.025418508715013832
ours,v_y,87.648,0.025594713880066733
