scenario,signal,series,t_s,value
ours,v_y,ground_truth,41.514,0.21191948131116467
ours,v_y,ground_truth,41.679,0.21951624328817865
ours,v_y,ground_truth,41.811,0.2311140876152329
ours,v_y,ground_truth,41.943,0.2465073213459309
ours,v_y,ground_truth,42.075,0.2639443605288465
ours,v_y,ground_truth,42.24,0.28482672160646705
ours,v_y,ground_truth,42.405,0.3138151742970132
ours,v_y,ground_truth,42.537,0.33756280181810716
ours,v_y,ground_truth,42.669,0.3668719263591287
ours,v_y,ground_truth,42.801,0.41294432002770165
ours,v_y,ground_truth,42.966,0.48062057852906603
ours,v_y,ground_truth,43.098,0.5071216363639639
ours,v_y,ground_truth,43.263,0.5466323863636044
ours,v_y,ground_truth,43.395,0.6023299106052526
ours,v_y,ground_truth,43.527,0.6715354873804418
ours,v_y,ground_truth,43.659,0.7446017056516538
ours,v_y,ground_truth,43.791,0.7111289278751274
ours,v_y,ground_truth,43.923,0.7235203386322464
ours,v_y,ground_truth,44.055,0.7050208415023764
ours,v_y,ground_truth,44.22,0.6788053572008126
ours,v_y,ground_truth,44.352,0.6366046765533131
ours,v_y,ground_truth,44.484,0.5464831953525611
ours,v_y,ground_truth,44.616,0.4445759229569619
ours,v_y,ground_truth,44.781,0.3761776019487213
ours,v_y,ground_truth,44.913,0.36420222579917727
ours,v_y,ground_truth,45.111,0.38240875352820414
ours,v_y,ground_truth,45.276,0.43295237609344994
ours,v_y,ground_truth,45.408,0.457806246131895
ours,v_y,ground_truth,45.573,0.4908588803109488
ours,v_y,ground_truth,45.738,0.521181337069633
ours,v_y,ground_truth,45.936,0.5375374171904248
ours,v_y,ground_truth,46.101,0.5329520833168644
ours,v_y,ground_truth,46.266,0.5282236700502629
ours,v_y,ground_truth,46.398,0.5133838209880128
ours,v_y,ground_truth,46.563,0.4946354856016857
ours,v_y,ground_truth,46.761,0.4783726398060715
ours,v_y,ground_truth,46.926,0.4883193427720851
ours,v_y,ground_truth,47.091,0.48414977746728205
ours,v_y,ground_truth,47.223,0.47044372160726233
ours,v_y,ground_truth,47.421,0.4628177624817589
ours,v_y,ground_truth,47.553,0.4663793727048393
ours,v_y,ground_truth,47.718,0.45067438170789664
ours,v_y,ground_truth,47.883,0.43578732527325315
ours,v_y,ground_truth,48.081,0.4166219918579266
ours,v_y,ground_truth,48.246,0.36224516261546036
ours,v_y,ground_truth,48.444,0.29542605843370495
ours,v_y,ground_truth,48.642,0.24080408579700396
ours,v_y,ground_truth,48.807,0.19810822240849824
ours,v_y,ground_truth,49.005,0.1477483279114562
ours,v_y,ground_truth,49.203,0.18708854565375432
ours,v_y,ground_truth,49.368,0.2663331373398812
ours,v_y,ground_truth,49.599,0.3049364549190603
ours,v_y,ground_truth,49.797,0.22592735830798283
ours,v_y,ground_truth,49.962,0.15989286309882544
ours,v_y,ground_truth,50.16,0.11909204134904883
ours,v_y,ground_truth,50.325,0.10728244461346392
ours,v_y,ground_truth,50.523,0.1082101095576693
ours,v_y,ground_truth,50.754,0.12197179155403504
ours,v_y,ground_truth,50.952,0.13094319810481814
ours,v_y,ground_truth,51.117,0.12691223262640605
ours,v_y,ground_truth,51.282,0.11722706533904415
ours,v_y,ground_truth,51.447,0.1057369542956117
ours,v_y,ground_truth,51.645,0.09731920744578382
ours,v_y,ground_truth,51.843,0.09392523957168031
ours,v_y,ground_truth,52.041,0.09996309874485831
ours,v_y,ground_truth,52.206,0.11085576358895999
ours,v_y,ground_truth,52.371,0.12489513126869589
ours,v_y,ground_truth,52.536,0.1356603012337807
ours,v_y,ground_truth,52.734,0.14217731183420845
ours,v_y,ground_truth,52.932,0.14589546975828327
ours,v_y,ground_truth,53.097,0.14819272702603037
ours,v_y,ground_truth,53.361,0.1262810851493228
ours,v_y,ground_truth,53.592,0.10138099318548655
ours,v_y,ground_truth,53.79,0.0770668396158225
ours,v_y,ground_truth,53.955,0.06598855891073008
ours,v_y,ground_truth,54.153,0.07337987059695195
ours,v_y,ground_truth,54.318,0.08957092632796204
ours,v_y,ground_truth,54.483,0.10700860703334492
ours,v_y,ground_truth,54.615,0.12025773637638615
ours,v_y,ground_truth,54.78,0.1356261168691475
ours,v_y,ground_truth,54.912,0.14607095705513906
ours,v_y,ground_truth,55.077,0.148603129043547
ours,v_y,ground_truth,55.209,0.13466830384096262
ours,v_y,ground_truth,55.374,0.09667396017281682
