scenario,e_y_m
ours,-0.2551560281059315
ours,-0.2655683627768956
ours,-0.28804861325812664
ours,-0.31599407210417263
ours,-0.3578107983597009
ours,-0.4046875518239873
ours,-0.47248994988887105
ours,-0.5048062902090713
ours,-0.5343542059248776
ours,-0.5332548488769258
ours,-0.5300938967888814
ours,-0.5045943036101115
ours,-0.4765095015332429
ours,-0.46013393487962967
ours,-0.44126357795196824
ours,-0.4341299513754718
ours,-0.42930898505888104
ours,-0.4468811573093609
ours,-0.46936871889993476
ours,-0.4984029998339202
ours,-0.5200492361797039
ours,-0.5339880620965913
ours,-0.5274012201952661
ours,-0.5053166933485791
ours,-0.44713384232449105
ours,-0.3879976135070914
ours,-0.29095423951366395
ours,-0.21567361096132626
ours,-0.15911299426373252
ours,-0.12279972123921216
ours,-0.11970348215377308
ours,-0.13103400603857443
ours,-0.146649625804945
ours,-0.1594157584744681
ours,-0.16170895180026368
ours,-0.1553063611703345
ours,-0.13854944360168464
ours,-0.11339606929150357
ours,-0.08797462368135056
ours,-0.058557939040987605
ours,-0.0340176908037747
ours,-0.0268355764809094
ours,-0.013450870209946576
ours,-0.005386038667290012
ours,-0.001329457179454513
ours,-0.0002123004467657688
ours,-0.0007723391631607179
ours,-0.003501523804904011
ours,-0.005757575028938033
ours,-0.009474269858115975
ours,-0.012666214937128245
ours,-0.015110497389329347
ours,-0.016385130233934952
ours,-0.01661972818323218
ours,-0.01677465242159855
ours,-0.015895889129612345
ours,-0.014767326566609174
ours,-0.013670246269114013
ours,-0.013041566527714522
ours,-0.012818480614045238
ours,-0.012933121010274704
ours,-0.01323795600968973
ours,-0.012731135057673565
ours,-0.0126995686907517
ours,-0.01249395674074591
ours,-0.012964113972522673
ours,-0.013208552239467862
ours,-0.013302841714780217
ours,-0.013831181108866969
ours,-0.015262287726194354
ours,-0.017582895074634508
ours,-0.020074685185681368
ours,-0.022531260753528473
ours,-0.024083229445244936
ours,-0.023943648992431302
ours,-0.023084007132974916
ours,-0.020662882439498854
ours,-0.017205916165332825
ours,-0.01388559872332179
ours,-0.0112007193069502
ours,-0.010667867894321031
ours,-0.01294225122844371
ours,-0.017563937693820475
ours,-0.023428439319200495
ours,-0.02958063725743902
ours,-0.033385023598419515
ours,-0.03972951018326002
ours,-0.043199623816049124
ours,-0.04546670145377303
ours,-0.04708370066182536
ours,-0.047692977192930336
ours,-0.046596993684331206
ours,-0.05021562235767133
ours,-0.048854295006052026
ours,-0.04982816695053156
ours,-0.050781412566161435
ours,-0.05189671767854074
ours,-0.055430251887562176
ours,-0.05721566875727177
ours,-0.05831844660656664
ours,-0.05987469711856455
ours,-0.06178009127573514
ours,-0.06341071673425723
ours,-0.06338439313235596
ours,-0.06797305214558108
ours,-0.07069212681760897
ours,-0.0738977550750404
ours,-0.07731463354913654
ours,-0.08180582003802514
ours,-0.08635858394771928
ours,-0.09129783414069151
ours,-0.09566662745983864
ours,-0.09937993415913352
ours,-0.102925390984377
ours,-0.10663608596694332
ours,-0.10856649119679762
ours,-0.11271163993266037
ours,-0.11726693687445722
ours,-0.12263846397270012
ours,-0.12823940035329115
ours,-0.12758215243182108
ours,-0.1320652146316239
ours,-0.133169524670401
ours,-0.12965364575883415
ours,-0.12069113236809281
ours,-0.10721223022736293
ours,-0.09976500536592446
ours,-0.08688225431787984
ours,-0.07679867271857627
ours,-0.07199543821630763
ours,-0.06830112859899778
ours,-0.06741220482869212
ours,-0.06594188094954712
ours,-0.06655530734334547
ours,-0.0662642480561832
ours,-0.06448426009191538
ours,-0.06097378668948006
ours,-0.058022112115589
ours,-0.05242244477698238
ours,-0.04640392548809097
ours,-0.040860165226845435
ours,-0.03633448455378274
ours,-0.034550923394199136
ours,-0.03231705782293836
ours,-0.031258867232297496
ours,-0.0299142175499187
ours,-0.027307532120787764
ours,-0.025114716868951087
ours,-0.021299506969742033
ours,-0.018292742838395493
ours,-0.014276773106816243
ours,-0.008801490618388363
ours,-0.0025807098461107514
ours,0.003199072561590688
ours,0.007035360893460074
ours,0.008280118282791293
ours,0.007962783896894365
ours,0.00615544319176814
ours,0.0042934464495267555
ours,0.0015219693071602536
ours,-0.0006676257868633018
ours,-0.0016432921852899407
ours,-0.001547551239916789
ours,-0.0005426045678321723
ours,0.0008610745098442396
ours,0.0023746497148355306
ours,0.003537412683393748
ours,0.004331788640605627
ours,0.0045268291796496385
ours,0.004237745757191325
ours,0.0035966908770794226
ours,0.002790078558167486
ours,0.002186609549921642
ours,0.0019967631820184393
ours,0.0019345052988574852
ours,0.00219510573410725
ours,0.002646858136635781
ours,0.003039733407660568
ours,0.003228801871510735
ours,0.0032352798840275324
ours,0.0028882813681124497
ours,0.002478418026298723
ours,0.0020737689487937416
ours,0.0018321827189779483
ours,0.0018606766253085882
ours,0.0021945080224258784
ours,0.0027306724352940404
ours,0.003072750385952616
ours,0.0030795668648548324
ours,0.002750260639161367
ours,0.002050119487662594
ours,0.0015069127552572725
ours,0.00126094324564624
ours,0.0013913478544668179
ours,0.0016059118301583603
ours,0.0017979068552855353
ours,0.0020478520783052123
