axis,D_true,v_rollout_mps,delta_sweep_rad,mu_reach,mu_realised,noise,seed,D_f,D_r,n_railed,railed_f,railed_r
speed,1.4,10.0,0.4,2.6591,1.3719,1,1,1.4126,1.3267,1,,C
speed,1.4,10.0,0.4,2.6591,1.3719,1,2,1.4127,1.3281,1,,C
speed,1.4,10.0,0.4,2.6591,1.3719,1,3,1.4119,1.3244,1,,C
speed,1.4,10.0,0.4,2.6591,1.3719,1,4,1.4115,1.3254,1,,C
speed,1.4,13.0,0.4,4.4939,1.5037,0,0,1.4596,1.3075,1,,C
speed,1.4,13.0,0.4,4.4939,1.5037,1,0,1.4591,1.3069,0,,
speed,1.4,13.0,0.4,4.4939,1.5037,1,1,1.4607,1.3085,0,,
speed,1.4,13.0,0.4,4.4939,1.5037,1,2,1.4597,1.3094,1,,C
speed,1.4,13.0,0.4,4.4939,1.5037,1,3,1.4606,1.308,1,,C
speed,1.4,13.0,0.4,4.4939,1.5037,1,4,1.4627,1.3087,0,,
speed,1.4,15.0,0.4,5.983,1.5947,0,0,1.4772,1.3056,0,,
speed,1.4,15.0,0.4,5.983,1.5947,1,0,1.4803,1.3046,0,,
speed,1.4,15.0,0.4,5.983,1.5947,1,1,1.4792,1.3057,0,,
speed,1.4,15.0,0.4,5.983,1.5947,1,2,1.4736,1.3071,0,,
speed,1.4,15.0,0.4,5.983,1.5947,1,3,1.4795,1.307,0,,
speed,1.4,15.0,0.4,5.983,1.5947,1,4,1.4748,1.3053,0,,
speed,1.4,20.0,0.4,10.6364,1.8817,0,0,1.5276,1.3354,0,,
speed,1.4,20.0,0.4,10.6364,1.8817,1,0,1.5192,1.3365,0,,
speed,1.4,20.0,0.4,10.6364,1.8817,1,1,1.5289,1.3352,0,,
speed,1.4,20.0,0.4,10.6364,1.8817,1,2,1.521,1.3411,0,,
speed,1.4,20.0,0.4,10.6364,1.8817,1,3,1.5321,1.3298,0,,
speed,1.4,20.0,0.4,10.6364,1.8817,1,4,1.5254,1.3308,0,,
delta,1.4,15.0,0.03,0.4487,0.4467,0,0,1.5337,1.4317,2,C,C
delta,1.4,15.0,0.03,0.4487,0.4467,1,0,0.6023,1.3302,2,C,C
delta,1.4,15.0,0.03,0.4487,0.4467,1,1,0.6235,1.3511,2,C,C
delta,1.4,15.0,0.03,0.4487,0.4467,1,2,0.6417,1.3644,2,C,C
delta,1.4,15.0,0.03,0.4487,0.4467,1,3,0.8376,1.3837,2,C,C
delta,1.4,15.0,0.03,0.4487,0.4467,1,4,1.2879,1.3542,2,C,C
delta,1.4,15.0,0.06,0.8974,0.8913,0,0,1.7117,1.6845,2,C,C
delta,1.4,15.0,0.06,0.8974,0.8913,1,0,1.6649,1.6677,2,C,C
delta,1.4,15.0,0.06,0.8974,0.8913,1,1,1.6521,1.6723,2,C,C
delta,1.4,15.0,0.06,0.8974,0.8913,1,2,1.7025,1.6822,2,C,C
delta,1.4,15.0,0.06,0.8974,0.8913,1,3,1.6962,1.6811,2,C,C
delta,1.4,15.0,0.06,0.8974,0.8913,1,4,1.676,1.6725,2,C,C
delta,1.4,15.0,0.1,1.4957,1.419,0,0,1.581,1.6352,1,,C
delta,1.4,15.0,0.1,1.4957,1.419,1,0,1.5584,1.6138,1,,C
delta,1.4,15.0,0.1,1.4957,1.419,1,1,1.5749,1.629,1,,C
delta,1.4,15.0,0.1,1.4957,1.419,1,2,1.5695,1.6311,1,,C
delta,1.4,15.0,0.1,1.4957,1.419,1,3,1.5882,1.6404,1,,C
delta,1.4,15.0,0.1,1.4957,1.419,1,4,1.6035,1.6403,1,,C
delta,1.4,15.0,0.15,2.2436,1.484,0,0,1.6602,1.7525,2,C,C
delta,1.4,15.0,0.15,2.2436,1.484,1,0,1.6536,1.7477,2,C,C
delta,1.4,15.0,0.15,2.2436,1.484,1,1,1.6828,1.7575,2,C,C
delta,1.4,15.0,0.15,2.2436,1.484,1,2,1.6668,1.7551,2,C,C
delta,1.4,15.0,0.15,2.2436,1.484,1,3,1.6709,1.7635,2,C,C
delta,1.4,15.0,0.15,2.2436,1.484,1,4,1.636,1.7291,2,C,C
delta,1.4,15.0,0.25,3.7394,1.535,0,0,1.7946,1.8291,2,C,C
delta,1.4,15.0,0.25,3.7394,1.535,1,0,1.8092,1.8343,2,C,C
delta,1.4,15.0,0.25,3.7394,1.535,1,1,1.7642,1.8275,2,C,C
delta,1.4,15.0,0.25,3.7394,1.535,1,2,1.818,1.8286,2,C,C
delta,1.4,15.0,0.25,3.7394,1.535,1,3,1.7673,1.8289,2,C,C
delta,1.4,15.0,0.25,3.7394,1.535,1,4,1.8237,1.8371,2,C,C
delta,1.4,15.0,0.4,5.983,1.5947,0,0,1.4772,1.3056,0,,
delta,1.4,15.0,0.4,5.983,1.5947,1,0,1.4803,1.3046,0,,
delta,1.4,15.0,0.4,5.983,1.5947,1,1,1.4792,1.3057,0,,
delta,1.4,15.0,0.4,5.983,1.5947,1,2,1.4736,1.3071,0,,
delta,1.4,15.0,0.4,5.983,1.5947,1,3,1.4795,1.307,0,,
delta,1.4,15.0,0.4,5.983,1.5947,1,4,1.4748,1.3053,0,,
delta,1.4,15.0,0.54,8.077,1.6402,0,0,1.469,1.2984,0,,
delta,1.4,15.0,0.54,8.077,1.6402,1,0,1.4696,1.2977,0,,
delta,1.4,15.0,0.54,8.077,1.6402,1,1,1.4675,1.2995,0,,
delta,1.4,15.0,0.54,8.077,1.6402,1,2,1.468,1.2993,0,,
delta,1.4,15.0,0.54,8.077,1.6402,1,3,1.4676,1.2978,0,,
delta,1.4,15.0,0.54,8.077,1.6402,1,4,1.4675,1.299,0,,
speed,1.8,4.0,0.4,0.4255,0.5004,0,0,0.4,0.6084,7,B|C|D|E,B|C|E
speed,1.8,4.0,0.4,0.4255,0.5004,1,0,0.4,0.6088,7,B|C|D|E,B|C|E
speed,1.8,4.0,0.4,0.4255,0.5004,1,1,0.4,0.6062,7,B|C|D|E,B|C|E
speed,1.8,4.0,0.4,0.4255,0.5004,1,2,0.4,0.6093,7,B|C|D|E,B|C|E
speed,1.8,4.0,0.4,0.4255,0.5004,1,3,0.4,0.6081,7,B|C|D|E,B|C|E
speed,1.8,4.0,0.4,0.4255,0.5004,1,4,0.4,0.6071,7,B|C|D|E,B|C|E
speed,1.8,6.0,0.4,0.9573,0.9655,0,0,1.4401,1.5264,2,C,C
speed,1.8,6.0,0.4,0.9573,0.9655,1,0,1.3339,1.1781,1,C,
speed,1.8,6.0,0.4,0.9573,0.9655,1,1,1.3651,1.3958,2,C,C
speed,1.8,6.0,0.4,0.9573,0.9655,1,2,1.363,1.1696,2,C,C
speed,1.8,6.0,0.4,0.9573,0.9655,1,3,1.2044,1.1738,2,C,C
speed,1.8,6.0,0.4,0.9573,0.9655,1,4,1.2278,1.1558,3,C,C|E
speed,1.8,8.0,0.4,1.7018,1.5499,0,0,1.8263,1.852,2,C,C
speed,1.8,8.0,0.4,1.7018,1.5499,1,0,1.8154,1.7353,1,C,
speed,1.8,8.0,0.4,1.7018,1.5499,1,1,1.8198,1.837,2,C,C
speed,1.8,8.0,0.4,1.7018,1.5499,1,2,1.8239,1.7442,1,C,
speed,1.8,8.0,0.4,1.7018,1.5499,1,3,1.83,1.7495,1,C,
speed,1.8,8.0,0.4,1.7018,1.5499,1,4,1.8371,1.7398,1,C,
speed,1.8,10.0,0.4,2.6591,1.698,0,0,1.7933,1.7111,0,,
speed,1.8,10.0,0.4,2.6591,1.698,1,0,1.7925,1.7088,0,,
speed,1.8,10.0,0.4,2.6591,1.698,1,1,1.7937,1.7114,0,,
speed,1.8,10.0,0.4,2.6591,1.698,1,2,1.7951,1.7157,0,,
speed,1.8,10.0,0.4,2.6591,1.698,1,3,1.7936,1.7114,0,,
