t_s,commanded_tire_friction,schedule
12.833,1.000000,constant
12.866,1.000000,constant
12.899,1.000000,constant
12.933,1.000000,constant
12.966,1.000000,constant
13.000,1.000000,constant
13.033,1.000000,constant
13.066,1.000000,constant
13.100,1.000000,constant
13.133,1.000000,constant
13.166,1.000000,constant
13.200,1.000000,constant
13.233,1.000000,constant
13.266,1.000000,constant
13.300,1.000000,constant
13.333,1.000000,constant
13.367,1.000000,constant
13.400,1.000000,constant
13.433,1.000000,constant
13.466,1.000000,constant
13.500,1.000000,constant
13.533,1.000000,constant
13.566,1.000000,constant
13.600,1.000000,constant
13.633,1.000000,constant
13.667,1.000000,constant
13.700,1.000000,constant
13.733,1.000000,constant
13.766,1.000000,constant
13.800,1.000000,constant
13.833,1.000000,constant
13.866,1.000000,constant
13.899,1.000000,constant
13.933,1.000000,constant
13.966,1.000000,constant
13.999,1.000000,constant
14.033,1.000000,constant
14.066,1.000000,constant
14.099,1.000000,constant
14.133,1.000000,constant
14.166,1.000000,constant
14.200,1.000000,constant
14.233,1.000000,constant
14.266,1.000000,constant
14.300,1.000000,constant
14.333,1.000000,constant
14.366,1.000000,constant
14.399,1.000000,constant
14.433,1.000000,constant
14.466,1.000000,constant
14.500,1.000000,constant
14.534,1.000000,constant
14.566,1.000000,constant
14.600,1.000000,constant
14.633,1.000000,constant
14.666,1.000000,constant
14.700,1.000000,constant
14.733,1.000000,constant
14.766,1.000000,constant
14.800,1.000000,constant
14.833,1.000000,constant
14.866,1.000000,constant
14.900,1.000000,constant
14.933,1.000000,constant
14.966,1.000000,constant
14.999,1.000000,constant
15.033,1.000000,constant
15.066,1.000000,constant
15.099,1.000000,constant
15.133,1.000000,constant
15.166,1.000000,constant
15.200,1.000000,constant
15.233,1.000000,constant
15.266,1.000000,constant
15.300,1.000000,constant
15.333,1.000000,constant
15.366,1.000000,constant
15.400,1.000000,constant
15.433,1.000000,constant
15.466,1.000000,constant
15.500,1.000000,constant
15.533,1.000000,constant
15.566,1.000000,constant
15.600,1.000000,constant
15.633,1.000000,constant
15.666,1.000000,constant
15.699,1.000000,constant
15.733,1.000000,constant
15.766,1.000000,constant
15.799,1.000000,constant
15.833,1.000000,constant
15.866,1.000000,constant
15.900,1.000000,constant
15.933,1.000000,constant
15.966,1.000000,constant
16.000,1.000000,constant
16.033,1.000000,constant
16.066,1.000000,constant
16.100,1.000000,constant
16.133,1.000000,constant
16.166,1.000000,constant
16.199,1.000000,constant
16.233,1.000000,constant
16.266,1.000000,constant
16.299,1.000000,constant
16.333,1.000000,constant
16.366,1.000000,constant
16.399,1.000000,constant
16.433,1.000000,constant
16.466,1.000000,constant
16.500,1.000000,constant
16.533,1.000000,constant
16.566,1.000000,constant
16.600,1.000000,constant
16.633,1.000000,constant
16.666,1.000000,constant
16.700,1.000000,constant
16.733,1.000000,constant
16.766,1.000000,constant
16.800,1.000000,constant
16.833,1.000000,constant
16.866,1.000000,constant
16.900,1.000000,constant
16.933,1.000000,constant
16.966,1.000000,constant
16.999,1.000000,constant
17.033,1.000000,constant
17.066,1.000000,constant
17.099,1.000000,constant
17.133,1.000000,constant
17.166,1.000000,constant
17.200,1.000000,constant
17.233,1.000000,constant
17.266,1.000000,constant
17.299,1.000000,constant
17.333,1.000000,constant
17.366,1.000000,constant
17.399,1.000000,constant
17.433,1.000000,constant
17.466,1.000000,constant
17.500,1.000000,constant
17.533,1.000000,constant
17.566,1.000000,constant
17.599,1.000000,constant
17.633,1.000000,constant
17.666,1.000000,constant
17.700,1.000000,constant
17.733,1.000000,constant
17.766,1.000000,constant
17.800,1.000000,constant
17.833,1.000000,constant
17.866,1.000000,constant
17.899,1.000000,constant
17.933,1.000000,constant
17.967,1.000000,constant
17.999,1.000000,constant
18.033,1.000000,constant
18.066,1.000000,constant
18.099,1.000000,constant
18.133,1.000000,constant
18.166,1.000000,constant
18.199,1.000000,constant
18.233,1.000000,constant
18.266,1.000000,constant
18.299,1.000000,constant
18.333,1.000000,constant
18.366,1.000000,constant
18.400,1.000000,constant
18.433,1.000000,constant
18.466,1.000000,constant
18.499,1.000000,constant
18.533,1.000000,constant
18.566,1.000000,constant
18.600,1.000000,constant
18.633,1.000000,constant
18.666,1.000000,constant
18.700,1.000000,constant
18.733,1.000000,constant
18.766,1.000000,constant
18.800,1.000000,constant
18.833,1.000000,constant
18.866,1.000000,constant
18.900,1.000000,constant
18.933,1.000000,constant
18.966,1.000000,constant
19.000,1.000000,constant
19.033,1.000000,constant
19.066,1.000000,constant
19.100,1.000000,constant
19.133,1.000000,constant
19.166,1.000000,constant
19.200,1.000000,constant
19.233,1.000000,constant
19.266,1.000000,constant
19.300,1.000000,constant
19.333,1.000000,constant
19.366,1.000000,constant
19.399,1.000000,constant
19.433,1.000000,constant
19.466,1.000000,constant
19.500,1.000000,constant
19.533,1.000000,constant
19.566,1.000000,constant
19.599,1.000000,constant
19.633,1.000000,constant
19.667,1.000000,constant
19.699,1.000000,constant
19.733,1.000000,constant
19.766,1.000000,constant
19.799,1.000000,constant
19.833,1.000000,constant
19.866,1.000000,constant
19.900,1.000000,constant
19.933,1.000000,constant
19.966,1.000000,constant
20.000,1.000000,constant
20.033,1.000000,constant
20.066,1.000000,constant
20.100,1.000000,constant
20.133,1.000000,constant
20.166,1.000000,constant
20.199,1.000000,constant
20.233,1.000000,constant
20.266,1.000000,constant
20.300,1.000000,constant
20.333,1.000000,constant
20.366,1.000000,constant
20.400,1.000000,constant
20.433,1.000000,constant
20.466,1.000000,constant
20.500,1.000000,constant
20.533,1.000000,constant
20.566,1.000000,constant
20.600,1.000000,constant
20.633,1.000000,constant
20.666,1.000000,constant
20.700,1.000000,constant
20.733,1.000000,constant
20.766,1.000000,constant
20.800,1.000000,constant
20.833,1.000000,constant
20.868,1.000000,constant
20.900,1.000000,constant
20.933,1.000000,constant
20.966,1.000000,constant
21.000,1.000000,constant
21.033,1.000000,constant
21.066,1.000000,constant
21.099,1.000000,constant
21.133,1.000000,constant
21.166,1.000000,constant
21.200,1.000000,constant
21.233,1.000000,constant
21.266,1.000000,constant
21.300,1.000000,constant
21.333,1.000000,constant
21.366,1.000000,constant
21.400,1.000000,constant
21.433,1.000000,constant
21.466,1.000000,constant
21.500,1.000000,constant
21.533,1.000000,constant
21.566,1.000000,constant
21.600,1.000000,constant
21.633,1.000000,constant
21.667,1.000000,constant
21.699,1.000000,constant
21.733,1.000000,constant
21.766,1.000000,constant
21.800,1.000000,constant
21.833,1.000000,constant
21.866,1.000000,constant
21.900,1.000000,constant
21.933,1.000000,constant
