stamp_sec,fl_fy_gt,fl_fy_est,fr_fy_gt,fr_fy_est,rl_fy_gt,rl_fy_est,rr_fy_gt,rr_fy_est,front_sum_gt,front_sum_est,rear_sum_gt,rear_sum_est,total_sum_gt,total_sum_est
1788557505.1060722,-35.411094665527344,-29.313087776234415,-37.12724685668945,-30.67987206095958,-33.85784912109375,-29.350858706752344,-35.725833892822266,-30.94448121364353,-72.5383415222168,-59.99295983719399,-69.58368301391602,-60.295339920395875,-142.1220245361328,-120.28829975758987
1788557505.1390722,-34.899051666259766,-28.852220602294473,-36.62486267089844,-30.263114616537905,-33.4033203125,-29.013503432471417,-35.13273620605469,-30.494404495722158,-71.5239143371582,-59.11533521883238,-68.53605651855469,-59.507907928193575,-140.0599708557129,-118.62324314702596
1788557505.2050722,-36.086448669433594,-29.98859885797651,-37.79149627685547,-31.27884432389253,-31.863059997558594,-27.66134056360538,-33.443904876708984,-28.928324661668107,-73.87794494628906,-61.26744318186904,-65.30696487426758,-56.589665225273485,-139.18490982055664,-117.85710840714253
1788557505.2710721,-35.797119140625,-29.67236068612115,-37.453338623046875,-30.723369513054482,-32.4184684753418,-28.197621923804256,-34.05751037597656,-29.553347580664266,-73.25045776367188,-60.39573019917563,-66.47597885131836,-57.75096950446852,-139.72643661499023,-118.14669970364415
1788557505.3370721,-35.58891296386719,-29.095561953525337,-37.2821159362793,-30.377660964771025,-32.808349609375,-28.47709401766866,-34.28321075439453,-29.303875792233956,-72.87102890014648,-59.47322291829636,-67.09156036376953,-57.780969809902615,-139.96258926391602,-117.25419272819897
1788557505.403072,-37.894466400146484,-31.129556212671623,-39.68885040283203,-32.47773324300481,-33.38737106323242,-28.58723509170023,-35.0452766418457,-29.902595626739128,-77.58331680297852,-63.60728945567644,-68.43264770507812,-58.48983071843936,-146.01596450805664,-122.09712017411579
1788557505.469072,-38.74728012084961,-31.970916256500935,-40.5993766784668,-33.388362828554165,-35.131317138671875,-30.25399251482013,-36.88529968261719,-31.660998214900253,-79.3466567993164,-65.3592790850551,-72.01661682128906,-61.91499072972039,-151.36327362060547,-127.2742698147755
1788557505.535072,-39.89948272705078,-33.212573379902324,-41.78657531738281,-34.63685792817179,-36.83636474609375,-31.898400862932082,-38.687103271484375,-33.40124235039636,-81.6860580444336,-67.84943130807412,-75.52346801757812,-65.29964321332844,-157.20952606201172,-133.14907452140255
1788557505.601072,-44.43511199951172,-37.004757837141405,-46.568058013916016,-38.64699326136284,-38.717063903808594,-33.86847308899102,-40.709190368652344,-35.591845023773416,-91.00317001342773,-75.65175109850423,-79.42625427246094,-69.46031811276444,-170.42942428588867,-145.11206921126868
1788557505.667072,-44.09880447387695,-36.532633318438855,-46.131256103515625,-37.9501478069352,-41.1418342590332,-36.03187152640112,-43.206153869628906,-37.698190929107525,-90.23006057739258,-74.48278112537406,-84.34798812866211,-73.73006245550864,-174.5780487060547,-148.2128435808827
