scenario,series,alpha_rad_or_coefficient,value
Baseline-NN-MSE_mu_0.7,front,-0.1798994974874372,-438.25764895817866
Baseline-NN-MSE_mu_0.7,front,-0.17788944723618091,-447.8387965706556
Baseline-NN-MSE_mu_0.7,front,-0.17587939698492464,-457.6151808392782
Baseline-NN-MSE_mu_0.7,front,-0.17386934673366836,-467.5897755957443
Baseline-NN-MSE_mu_0.7,front,-0.17185929648241208,-477.765388466005
Baseline-NN-MSE_mu_0.7,front,-0.1698492462311558,-488.1446298043333
Baseline-NN-MSE_mu_0.7,front,-0.1678391959798995,-498.7298782100294
Baseline-NN-MSE_mu_0.7,front,-0.1658291457286432,-509.5232423224026
Baseline-NN-MSE_mu_0.7,front,-0.16381909547738693,-520.5265185710432
Baseline-NN-MSE_mu_0.7,front,-0.16180904522613065,-531.7411445403928
Baseline-NN-MSE_mu_0.7,front,-0.15979899497487438,-543.1681475906871
Baseline-NN-MSE_mu_0.7,front,-0.1577889447236181,-554.8080883621443
Baseline-NN-MSE_mu_0.7,front,-0.15577889447236182,-566.6609987765806
Baseline-NN-MSE_mu_0.7,front,-0.15376884422110554,-578.7263141412819
Baseline-NN-MSE_mu_0.7,front,-0.15175879396984926,-591.0027989551894
Baseline-NN-MSE_mu_0.7,front,-0.14974874371859298,-603.4884660184501
Baseline-NN-MSE_mu_0.7,front,-0.1477386934673367,-616.1804884547579
Baseline-NN-MSE_mu_0.7,front,-0.14572864321608042,-629.0751042734711
Baseline-NN-MSE_mu_0.7,front,-0.14371859296482414,-642.1675131272708
Baseline-NN-MSE_mu_0.7,front,-0.14170854271356784,-655.4517649635924
Baseline-NN-MSE_mu_0.7,front,-0.13969849246231156,-668.9206403268538
Baseline-NN-MSE_mu_0.7,front,-0.13768844221105528,-682.565522146718
Baseline-NN-MSE_mu_0.7,front,-0.135678391959799,-696.3762589485907
Baseline-NN-MSE_mu_0.7,front,-0.13366834170854272,-710.3410195499374
Baseline-NN-MSE_mu_0.7,front,-0.13165829145728644,-724.4461394637638
Baseline-NN-MSE_mu_0.7,front,-0.12964824120603013,-738.6759594227939
Baseline-NN-MSE_mu_0.7,front,-0.12763819095477386,-753.012656668748
Baseline-NN-MSE_mu_0.7,front,-0.12562814070351758,-767.4360699247617
Baseline-NN-MSE_mu_0.7,front,-0.12361809045226131,-781.9235192892205
Baseline-NN-MSE_mu_0.7,front,-0.12160804020100503,-796.4496226593956
Baseline-NN-MSE_mu_0.7,front,-0.11959798994974874,-810.9861107156443
Baseline-NN-MSE_mu_0.7,front,-0.11758793969849246,-825.5016429725622
Baseline-NN-MSE_mu_0.7,front,-0.11557788944723618,-839.9616279315705
Baseline-NN-MSE_mu_0.7,front,-0.1135678391959799,-854.3280509466888
Baseline-NN-MSE_mu_0.7,front,-0.11155778894472362,-868.559314035219
Baseline-NN-MSE_mu_0.7,front,-0.10954773869346734,-882.6100925174612
Baseline-NN-MSE_mu_0.7,front,-0.10753768844221105,-896.4312140393007
Baseline-NN-MSE_mu_0.7,front,-0.10552763819095477,-909.9695661980599
Baseline-NN-MSE_mu_0.7,front,-0.1035175879396985,-923.1680396286664
Baseline-NN-MSE_mu_0.7,front,-0.10150753768844221,-935.9655139804346
Baseline-NN-MSE_mu_0.7,front,-0.09949748743718594,-948.2968946841073
Baseline-NN-MSE_mu_0.7,front,-0.09748743718592964,-960.093208726742
Baseline-NN-MSE_mu_0.7,front,-0.09547738693467336,-971.2817677648177
Baseline-NN-MSE_mu_0.7,front,-0.09346733668341708,-981.7864067548978
Baseline-NN-MSE_mu_0.7,front,-0.0914572864321608,-991.5278058049403
Baseline-NN-MSE_mu_0.7,front,-0.08944723618090453,-1000.4239020870697
Baseline-NN-MSE_mu_0.7,front,-0.08743718592964825,-1008.3903973482202
Baseline-NN-MSE_mu_0.7,front,-0.08542713567839195,-1015.341364762617
Baseline-NN-MSE_mu_0.7,front,-0.08341708542713568,-1021.1899565599742
Baseline-NN-MSE_mu_0.7,front,-0.0814070351758794,-1025.8492110291543
Baseline-NN-MSE_mu_0.7,front,-0.07939698492462312,-1029.232954162696
Baseline-NN-MSE_mu_0.7,front,-0.07738693467336684,-1031.2567874336132
Baseline-NN-MSE_mu_0.7,front,-0.07537688442211055,-1031.8391490846047
Baseline-NN-MSE_mu_0.7,front,-0.07336683417085427,-1030.9024320084764
Baseline-NN-MSE_mu_0.7,front,-0.07135678391959799,-1028.3741369985737
Baseline-NN-MSE_mu_0.7,front,-0.06934673366834171,-1024.1880360805333
Baseline-NN-MSE_mu_0.7,front,-0.06733668341708543,-1018.2853170629389
Baseline-NN-MSE_mu_0.7,front,-0.06532663316582915,-1010.6156776415718
Baseline-NN-MSE_mu_0.7,front,-0.06331658291457287,-1001.138335633273
Baseline-NN-MSE_mu_0.7,front,-0.06130653266331659,-989.822921448043
Baseline-NN-MSE_mu_0.7,front,-0.059296482412060286,-976.6502199278893
