scenario,signal,series,t_s,value
ours,front_mu,plant_mu,21.252,1.0499999523162842
ours,front_mu,plant_mu,21.384,1.0499999523162842
ours,front_mu,plant_mu,21.516,1.0499999523162842
ours,front_mu,plant_mu,21.648,1.0499999523162842
ours,front_mu,plant_mu,21.747,1.0499999523162842
ours,front_mu,plant_mu,21.846,1.0499999523162842
ours,front_mu,plant_mu,21.945,1.0499999523162842
ours,front_mu,plant_mu,22.044,1.0499999523162842
ours,front_mu,plant_mu,22.143,1.0499999523162842
ours,front_mu,plant_mu,22.242,1.0499999523162842
ours,front_mu,plant_mu,22.341,1.0499999523162842
ours,front_mu,plant_mu,22.44,1.0499999523162842
ours,front_mu,plant_mu,22.572,1.0499999523162842
ours,front_mu,plant_mu,22.704,1.0499999523162842
ours,front_mu,plant_mu,22.836,1.0499999523162842
ours,front_mu,plant_mu,22.968,1.0499999523162842
ours,front_mu,plant_mu,23.067,1.0499999523162842
ours,front_mu,plant_mu,23.166,1.0499999523162842
ours,front_mu,plant_mu,23.265,1.0499999523162842
ours,front_mu,plant_mu,23.364,1.0499999523162842
ours,front_mu,plant_mu,23.463,1.0499999523162842
ours,front_mu,plant_mu,23.562,1.0499999523162842
ours,front_mu,plant_mu,23.661,1.0499999523162842
ours,front_mu,plant_mu,23.76,1.0499999523162842
ours,front_mu,plant_mu,23.892,1.0499999523162842
ours,front_mu,plant_mu,24.024,1.0499999523162842
ours,front_mu,plant_mu,24.09,1.0499999523162842
ours,front_mu,plant_mu,24.222,1.0499999523162842
ours,front_mu,plant_mu,24.354,1.0499999523162842
ours,front_mu,plant_mu,24.486,1.0499999523162842
ours,front_mu,plant_mu,24.585,1.0499999523162842
ours,front_mu,plant_mu,24.684,1.0499999523162842
ours,front_mu,plant_mu,24.783,1.0499999523162842
ours,front_mu,plant_mu,24.882,1.0499999523162842
ours,front_mu,plant_mu,25.014,1.0499999523162842
ours,front_mu,plant_mu,25.146,1.0499999523162842
ours,front_mu,plant_mu,25.344,1.0499999523162842
ours,front_mu,plant_mu,25.476,1.0499999523162842
ours,front_mu,plant_mu,25.608,1.0499999523162842
ours,front_mu,plant_mu,25.74,1.0499999523162842
ours,front_mu,plant_mu,25.872,1.0499999523162842
ours,front_mu,plant_mu,25.938,1.0499999523162842
ours,front_mu,plant_mu,26.07,1.0499999523162842
ours,front_mu,plant_mu,26.136,1.0499999523162842
ours,front_mu,plant_mu,26.268,1.0499999523162842
ours,front_mu,plant_mu,26.334,1.0499999523162842
ours,front_mu,plant_mu,26.466,1.0499999523162842
ours,front_mu,plant_mu,26.598,1.0499999523162842
ours,front_mu,plant_mu,26.73,1.0499999523162842
ours,front_mu,plant_mu,26.862,1.0499999523162842
ours,front_mu,plant_mu,26.994,1.0499999523162842
ours,front_mu,plant_mu,27.06,1.0499999523162842
ours,front_mu,plant_mu,27.192,1.0499999523162842
ours,front_mu,plant_mu,27.258,1.0499999523162842
ours,front_mu,plant_mu,27.39,1.0499999523162842
ours,front_mu,plant_mu,27.456,1.0499999523162842
ours,front_mu,plant_mu,27.588,1.0499999523162842
ours,front_mu,plant_mu,27.654,1.0499999523162842
ours,front_mu,plant_mu,27.786,1.0499999523162842
ours,front_mu,plant_mu,27.918,1.0499999523162842
ours,front_mu,plant_mu,28.05,1.0499999523162842
ours,front_mu,plant_mu,28.182,1.0499999523162842
ours,front_mu,plant_mu,28.314,1.0499999523162842
ours,front_mu,plant_mu,28.446,1.0499999523162842
ours,front_mu,plant_mu,28.545,1.0499999523162842
ours,front_mu,plant_mu,28.644,1.0499999523162842
ours,front_mu,plant_mu,28.743,1.0499999523162842
ours,front_mu,plant_mu,28.842,1.0499999523162842
ours,front_mu,plant_mu,28.941,1.0499999523162842
ours,front_mu,plant_mu,29.04,1.0499999523162842
ours,front_mu,plant_mu,29.172,1.0499999523162842
ours,front_mu,plant_mu,29.304,1.0499999523162842
ours,front_mu,plant_mu,29.436,1.0499999523162842
ours,front_mu,plant_mu,29.568,1.0499999523162842
ours,front_mu,plant_mu,29.667,1.0499999523162842
ours,front_mu,plant_mu,29.766,1.0499999523162842
ours,front_mu,plant_mu,29.865,1.0499999523162842
ours,front_mu,plant_mu,29.964,1.0499999523162842
ours,front_mu,plant_mu,30.063,1.0499999523162842
ours,front_mu,plant_mu,30.162,1.0499999523162842
ours,front_mu,plant_mu,30.261,1.0499999523162842
ours,front_mu,plant_mu,30.36,1.0499999523162842
ours,front_mu,plant_mu,30.492,1.0499999523162842
ours,front_mu,plant_mu,30.624,1.0499999523162842
ours,front_mu,plant_mu,30.756,1.0499999523162842
ours,front_mu,plant_mu,30.888,1.0499999523162842
ours,front_mu,plant_mu,30.987,1.0499999523162842
ours,front_mu,plant_mu,31.086,1.0499999523162842
ours,front_mu,plant_mu,31.185,1.0499999523162842
ours,front_mu,plant_mu,31.284,1.0499999523162842
ours,front_mu,plant_mu,31.383,1.0499999523162842
ours,front_mu,plant_mu,31.482,1.0499999523162842
ours,front_mu,plant_mu,31.614,1.0499999523162842
ours,front_mu,plant_mu,31.746,1.0499999523162842
ours,front_mu,plant_mu,31.878,1.0499999523162842
ours,front_mu,plant_mu,32.01,1.0499999523162842
ours,front_mu,plant_mu,32.142,1.0499999523162842
ours,front_mu,plant_mu,32.274,1.0499999523162842
ours,front_mu,plant_mu,32.406,1.0499999523162842
ours,front_mu,plant_mu,32.505,1.0499999523162842
ours,front_mu,plant_mu,32.604,1.0499999523162842
ours,front_mu,plant_mu,32.703,1.0499999523162842
ours,front_mu,plant_mu,32.802,1.0499999523162842
ours,front_mu,plant_mu,32.934,1.0499999523162842
