scenario,signal,error_gt_minus_est
ours,omega,-0.013260429202327548
ours,omega,-0.010020006485333202
ours,omega,-0.008997788427823776
ours,omega,-0.027861367794716277
ours,omega,-0.009714517007399424
ours,omega,0.016064578156756666
ours,omega,0.0632458091429774
ours,omega,-0.024009640519531195
ours,omega,-0.06116290127900352
ours,omega,-0.04392590695848394
ours,omega,-0.006558235213880801
ours,omega,-0.003968427861540825
ours,omega,-0.006890197673408604
ours,omega,-0.005639338747643392
ours,omega,-0.004699183129547351
ours,omega,-0.006062430584481571
ours,omega,-0.004657955395632334
ours,omega,-0.006966319533034008
ours,omega,-0.002674218105285942
ours,omega,-0.0007101888176577788
ours,omega,0.0008745665303952592
ours,omega,-0.0004996443408602155
ours,omega,-0.00308420171771007
ours,omega,-0.0026393738921567447
ours,omega,-0.004108784616352307
ours,omega,-0.004185014243101894
ours,omega,-0.004242723838136536
ours,omega,-0.006186570321044596
ours,omega,-0.009624977501954532
ours,omega,-0.009356539966265976
ours,omega,-0.009240725298362845
ours,omega,0.004101135317327373
ours,omega,0.0034937804056312492
ours,omega,0.00043757780615771846
ours,omega,0.0009044618074566246
ours,omega,-0.0012502185336956892
ours,omega,-0.0021445263424058406
ours,omega,-0.0094209167973291
ours,omega,-0.011976324776444648
ours,omega,-0.011807482272150522
ours,omega,-0.0100423157268648
ours,omega,-0.00854716636668169
ours,omega,-0.00546766033207523
ours,omega,0.0006223133066658561
ours,omega,0.000984000223418019
ours,omega,0.00427272281565191
ours,omega,-0.0023467302640890475
ours,omega,-0.00538977182511342
ours,omega,-0.0076239886911072426
ours,omega,-0.005623755010849295
ours,omega,-0.005561647949610161
ours,omega,-0.00599575257566612
ours,omega,-0.0017800899829943512
ours,omega,-0.0021769616096348893
ours,omega,-0.003352961523879854
ours,omega,-0.0053343809180634565
ours,omega,-0.007620010134139481
ours,omega,-0.0075682079227239124
ours,omega,-0.00567171142966651
ours,omega,-0.0046276730529349105
ours,omega,-0.0038742700771480718
ours,omega,-0.0019948454722866194
ours,omega,-0.004045549581326186
ours,omega,-0.0023313211410467523
ours,omega,-0.00016121702746351753
ours,omega,0.0013361262662588821
ours,omega,0.000730454785983793
ours,omega,0.0006657230928376048
ours,omega,-0.001560830036645658
ours,omega,-0.0018694935587211404
ours,omega,-0.0029866182142314597
ours,omega,-0.005153258933067151
ours,omega,-0.006307287206618386
ours,omega,-0.007834811586198202
ours,omega,-0.01104710254453247
ours,omega,-0.004527817454266985
ours,omega,-0.00799712192434806
ours,omega,-0.002093299663193318
ours,omega,-0.001872766682488142
ours,omega,-0.0007824547902673118
ours,omega,-5.256944084674163e-05
ours,omega,-0.0019651475464422963
ours,omega,-0.0015731995721740832
ours,omega,-0.0014453016936408908
ours,omega,-0.0019460949767495586
ours,omega,-0.0030005981392752824
ours,omega,-0.00563673021964067
ours,omega,-0.005904987698503148
ours,omega,-0.007338488569804624
ours,omega,-0.006869433692694889
ours,omega,-0.0067462177248789335
ours,omega,-0.006816081082629252
ours,omega,-0.007224538911998625
ours,omega,-0.00625807035351543
ours,omega,-0.0036748559600052882
ours,omega,-0.0005319091741600029
ours,omega,0.0007485510083545255
ours,omega,0.004942391937581794
ours,omega,0.0021001519959276543
ours,omega,-0.0005456976933949503
ours,omega,-0.0023279504506277388
ours,omega,-9.882864844529271e-05
ours,omega,-0.0007511841246197609
ours,omega,-0.008214933728333595
ours,omega,-0.010564378464499147
ours,omega,-0.007043042000108524
ours,omega,-0.007489962517349472
ours,omega,-0.017277057523548398
ours,omega,-0.01580742307386307
ours,omega,-0.02616361364235245
ours,omega,-0.014465530847650149
ours,omega,0.005958091808155097
ours,omega,0.02380404528588198
ours,omega,0.040853346105165486
ours,omega,0.06958624943466277
ours,omega,0.030407325417624642
ours,omega,0.03994143815807315
ours,omega,0.0028814352931039525
ours,omega,-0.0009625028223444951
ours,omega,0.002209572990945624
ours,omega,0.001305031667530255
ours,omega,0.005611576703023213
ours,omega,0.003659276079589123
ours,omega,0.006562288466028559
ours,omega,0.006116699097034443
ours,omega,0.0076933408778733295
ours,omega,0.005967060580825682
ours,omega,0.005314472630470898
ours,omega,0.003412983691562378
ours,omega,0.004173294934604936
ours,omega,0.009104141191865325
ours,omega,0.00813795149962522
ours,omega,0.01490611888477951
ours,omega,0.011934841733394125
ours,omega,0.014179694823814315
ours,omega,0.007379966860693921
ours,omega,0.004380733180576496
ours,omega,0.013010128130173576
ours,omega,0.009388156598970493
ours,omega,0.013851224140884272
ours,omega,0.012089611278132323
ours,omega,0.007325682875637063
ours,omega,0.00263345098556364
ours,omega,0.0012256610745373375
ours,omega,0.0036630771031271603
ours,omega,0.012712094879992947
ours,omega,-0.011867206411541487
ours,omega,-0.008719914927218936
ours,omega,-0.0016457057840842948
ours,omega,-0.003841456462293391
ours,omega,-0.005879859246667868
ours,omega,-0.0013836629897011898
ours,omega,0.00019631439384371063
ours,omega,-0.008993328053581634
ours,omega,-0.017090344029518728
ours,omega,-0.027866346612610338
ours,omega,-0.023812313700946094
ours,omega,-0.014921091651122362
ours,omega,-0.014798006478976805
ours,omega,-0.01805157412586983
