scenario,signal,series,t_s,value
ours,v_y,ground_truth,35.739,0.30035978389410367
ours,v_y,ground_truth,35.838,0.29080188455360734
ours,v_y,ground_truth,35.937,0.30072442461278115
ours,v_y,ground_truth,36.069,0.32754004965176975
ours,v_y,ground_truth,36.267,0.3874691117000548
ours,v_y,ground_truth,36.399,0.42842611241475126
ours,v_y,ground_truth,36.531,0.4484558058814443
ours,v_y,ground_truth,36.597,0.4490235461716736
ours,v_y,ground_truth,36.729,0.42478456379218876
ours,v_y,ground_truth,36.795,0.4085769898391405
ours,v_y,ground_truth,36.96,0.3577669126989971
ours,v_y,ground_truth,37.125,0.3307090429302555
ours,v_y,ground_truth,37.191,0.32203991004434407
ours,v_y,ground_truth,37.323,0.31592221976259083
ours,v_y,ground_truth,37.455,0.32658824895823635
ours,v_y,ground_truth,37.587,0.3526232621683345
ours,v_y,ground_truth,37.686,0.3797007320061656
ours,v_y,ground_truth,37.851,0.42940650930526303
ours,v_y,ground_truth,37.917,0.4420360959384393
ours,v_y,ground_truth,38.082,0.46378707118577367
ours,v_y,ground_truth,38.181,0.49204120274893803
ours,v_y,ground_truth,38.28,0.5210191339621311
ours,v_y,ground_truth,38.379,0.5538594951247351
ours,v_y,ground_truth,38.577,0.5769031394479018
ours,v_y,ground_truth,38.775,0.6481622651941201
ours,v_y,ground_truth,38.841,0.6770213142745298
ours,v_y,ground_truth,38.973,0.6282198993392143
ours,v_y,ground_truth,39.039,0.6106951370597695
ours,v_y,ground_truth,39.171,0.5897027163846165
ours,v_y,ground_truth,39.303,0.5837165954663934
ours,v_y,ground_truth,39.402,0.5384797586499221
ours,v_y,ground_truth,39.567,0.47289430495460394
ours,v_y,ground_truth,39.699,0.45992633740674904
ours,v_y,ground_truth,39.831,0.49873680911621854
ours,v_y,ground_truth,39.963,0.5602612445538702
ours,v_y,ground_truth,40.095,0.6266586356563266
ours,v_y,ground_truth,40.293,0.6900825337136469
ours,v_y,ground_truth,40.425,0.7494385921168938
ours,v_y,ground_truth,40.557,0.7950483984719661
ours,v_y,ground_truth,40.689,0.7990864102807507
ours,v_y,ground_truth,40.821,0.7689621325769966
ours,v_y,ground_truth,41.019,0.7098823761259894
ours,v_y,ground_truth,41.151,0.6372524111272959
