scenario,signal,error_gt_minus_est
ours,front_sum_fy,-0.07063449907559516
ours,front_sum_fy,2.711870248637524
ours,front_sum_fy,-11.93150174431662
ours,front_sum_fy,-17.74814072556751
ours,front_sum_fy,-22.282048687229576
ours,front_sum_fy,-26.856015488766957
ours,front_sum_fy,-32.24040670648532
ours,front_sum_fy,-36.002776326448156
ours,front_sum_fy,-39.76445431339994
ours,front_sum_fy,-34.991603084329654
ours,front_sum_fy,-35.386935634981796
ours,front_sum_fy,-30.537615321832277
ours,front_sum_fy,-23.99682177233103
ours,front_sum_fy,-21.869244720284314
ours,front_sum_fy,-20.920621962652945
ours,front_sum_fy,-13.610565835737589
ours,front_sum_fy,-15.41710056072202
ours,front_sum_fy,-5.537523610334574
ours,front_sum_fy,3.1585902045997045
ours,front_sum_fy,91.06745072478111
ours,front_sum_fy,10.753585979252875
ours,front_sum_fy,15.492120608160008
ours,front_sum_fy,9.550887186895125
ours,front_sum_fy,4.412485719264964
ours,front_sum_fy,-8.962265647041704
ours,front_sum_fy,-15.163117482058283
ours,front_sum_fy,-25.534300786455788
ours,front_sum_fy,-35.16028176340933
ours,front_sum_fy,-39.156132416470996
ours,front_sum_fy,-45.09237567687774
ours,front_sum_fy,-45.570187473329725
ours,front_sum_fy,-46.437278524831925
ours,front_sum_fy,-40.72417614158013
ours,front_sum_fy,-41.983376738278196
ours,front_sum_fy,-39.49241656034087
ours,front_sum_fy,-39.0925575394873
ours,front_sum_fy,-36.838861506117496
ours,front_sum_fy,-35.0734292486988
ours,front_sum_fy,-36.48336541869742
ours,front_sum_fy,-40.03010774053109
ours,front_sum_fy,-39.62964028114504
ours,front_sum_fy,-36.69668208245969
ours,front_sum_fy,-34.439488479527654
ours,front_sum_fy,-32.0317313296016
ours,front_sum_fy,-32.80463688053618
ours,front_sum_fy,-33.3584321558933
ours,front_sum_fy,-31.550151715561185
ours,front_sum_fy,-29.066719382319206
ours,front_sum_fy,-31.027328079921176
ours,front_sum_fy,-33.48456093904713
ours,front_sum_fy,-28.785492695190584
ours,front_sum_fy,-27.191092878940196
ours,front_sum_fy,-21.616061478823923
ours,front_sum_fy,-19.600698945192534
ours,front_sum_fy,-21.148654848711857
ours,front_sum_fy,-18.78134761820361
ours,front_sum_fy,-15.510032349672485
ours,front_sum_fy,-15.570250305030427
ours,front_sum_fy,-11.233285971357489
ours,front_sum_fy,-10.661272347301178
ours,front_sum_fy,-7.02563311467317
ours,front_sum_fy,-6.483082861433985
ours,front_sum_fy,-4.4679302970278805
ours,front_sum_fy,-3.9218482123461023
ours,front_sum_fy,-2.378684871665657
ours,front_sum_fy,-2.8954087887157414
ours,front_sum_fy,-1.7874986231812713
ours,front_sum_fy,-3.302805438806928
ours,front_sum_fy,-5.303383359796872
ours,front_sum_fy,-8.616074011628342
ours,front_sum_fy,-9.487167020547908
ours,front_sum_fy,-11.186556026221567
ours,front_sum_fy,-12.845278314173896
ours,front_sum_fy,-15.089126320372685
ours,front_sum_fy,-16.176801720445724
ours,front_sum_fy,-17.212556884859197
ours,front_sum_fy,-19.80386058024041
ours,front_sum_fy,-20.776036386724655
ours,front_sum_fy,-22.582006527607476
ours,front_sum_fy,-24.62510454213171
ours,front_sum_fy,-25.877791896906018
ours,front_sum_fy,-27.034326719859237
ours,front_sum_fy,-28.410610208428096
ours,front_sum_fy,-28.59916972443972
ours,front_sum_fy,-28.173420100161167
ours,front_sum_fy,-28.76368633929951
ours,front_sum_fy,-30.01412621016061
ours,front_sum_fy,-31.09634275326772
ours,front_sum_fy,-35.03626138948522
ours,front_sum_fy,-33.40306063334725
ours,front_sum_fy,-34.36252942729061
ours,front_sum_fy,-34.76403692554919
ours,front_sum_fy,-35.995282889616874
ours,front_sum_fy,-37.303227555472404
ours,front_sum_fy,-39.957329151884636
ours,front_sum_fy,-41.98149190289479
ours,front_sum_fy,-40.47948835694976
ours,front_sum_fy,-37.630495604368775
ours,front_sum_fy,-42.06307733883378
ours,front_sum_fy,-43.43574819451317
ours,front_sum_fy,-45.237585686019884
ours,front_sum_fy,-43.861662537560505
ours,front_sum_fy,-45.84584223008005
ours,front_sum_fy,-45.021870668827546
ours,front_sum_fy,-46.61124529961273
ours,front_sum_fy,-49.03946646126019
ours,front_sum_fy,-47.37306746765222
ours,front_sum_fy,-49.46225386003141
ours,front_sum_fy,-50.61504452663439
ours,front_sum_fy,-43.95499102242454
ours,front_sum_fy,-44.29782970630259
ours,front_sum_fy,-41.62819220792804
ours,front_sum_fy,-40.57751923305901
ours,front_sum_fy,-42.254766863897714
ours,front_sum_fy,-46.19024815366288
ours,front_sum_fy,-44.9150157559844
ours,front_sum_fy,-44.652075141058106
ours,front_sum_fy,-43.07125061684138
ours,front_sum_fy,-46.32727882598448
ours,front_sum_fy,-48.05259514804652
ours,front_sum_fy,-48.090427330067655
ours,front_sum_fy,-52.90498605790282
ours,front_sum_fy,-49.31825761904946
ours,front_sum_fy,-48.031673261530386
ours,front_sum_fy,-39.26196705137397
ours,front_sum_fy,-44.56226612540422
ours,front_sum_fy,-44.2541728002534
ours,front_sum_fy,-33.28249899578276
ours,front_sum_fy,-35.70914567391026
ours,front_sum_fy,-44.88595360959306
ours,front_sum_fy,-48.103804822737516
ours,front_sum_fy,-46.96971487040565
ours,front_sum_fy,-40.36446844093808
ours,front_sum_fy,-34.81033787089507
ours,front_sum_fy,-43.63986699643806
ours,front_sum_fy,-35.30231420867284
ours,front_sum_fy,-39.57379613904442
ours,front_sum_fy,-19.708613202220363
ours,front_sum_fy,-18.39454691487117
ours,front_sum_fy,-23.98267820852118
ours,front_sum_fy,-20.441199425803802
ours,front_sum_fy,-26.666265644138093
ours,front_sum_fy,-36.07692451741457
ours,front_sum_fy,-30.498159990980525
ours,front_sum_fy,-41.66894024875353
ours,front_sum_fy,-42.94502956893598
ours,front_sum_fy,-43.624467743662365
ours,front_sum_fy,-51.30528650755707
ours,front_sum_fy,-43.96914460618336
ours,front_sum_fy,-49.48129282680395
ours,front_sum_fy,-51.44030660300223
ours,front_sum_fy,-42.77598221626022
ours,front_sum_fy,-45.12875072780628
ours,front_sum_fy,-40.84272522135194
ours,front_sum_fy,-35.597908170917066
ours,front_sum_fy,-31.97276038257121
ours,front_sum_fy,-31.062718242874794
ours,front_sum_fy,-26.917402658372794
ours,front_sum_fy,-22.236383260632593
ours,front_sum_fy,-15.374636239083245
ours,front_sum_fy,-9.898377149070818
ours,front_sum_fy,-4.548386948383758
ours,front_sum_fy,-1.7973932104080905
ours,front_sum_fy,-2.019955719454833
ours,front_sum_fy,-4.302059428041103
ours,front_sum_fy,-4.798764237103978
ours,front_sum_fy,-4.1109539479131385
ours,front_sum_fy,-3.1725107744197913
ours,front_sum_fy,4.015062769648225
ours,front_sum_fy,-1.5053002866346183
ours,front_sum_fy,-4.551815580496108
ours,front_sum_fy,-3.1724437235338776
ours,front_sum_fy,-3.6990313479274075
ours,front_sum_fy,-3.469119788063235
ours,front_sum_fy,-5.11414197055722
ours,front_sum_fy,-5.244425149590889
ours,front_sum_fy,-4.694160428543142
ours,front_sum_fy,-4.8408471936153425
ours,front_sum_fy,-4.459931869420895
ours,front_sum_fy,-5.194417622932075
ours,front_sum_fy,-5.126776869619874
ours,front_sum_fy,-6.102597844891335
ours,front_sum_fy,-4.646034997475237
ours,front_sum_fy,-4.123757103530739
ours,front_sum_fy,-3.9924118484146014
ours,front_sum_fy,-4.694373218457013
ours,front_sum_fy,-4.1270210324637535
ours,front_sum_fy,-3.99803148996493
ours,front_sum_fy,-2.9955301770882627
ours,front_sum_fy,-4.833775202962627
ours,front_sum_fy,-8.040753796122765
ours,front_sum_fy,-10.094208501667467
ours,front_sum_fy,-9.610514511600748
ours,front_sum_fy,-21.081391781259057
ours,front_sum_fy,-29.214349315199712
ours,front_sum_fy,-31.15838617718893
ours,front_sum_fy,-33.109314721394355
ours,front_sum_fy,-37.56541542708118
ours,front_sum_fy,-42.885646971114795
ours,front_sum_fy,-50.730015886816204
ours,front_sum_fy,-50.440010851343345
ours,front_sum_fy,-49.369473307448345
ours,front_sum_fy,-50.0453865194732
ours,front_sum_fy,-41.81604673945549
ours,front_sum_fy,-22.186785594588855
ours,front_sum_fy,13.194747343219092
ours,front_sum_fy,54.40869321649666
ours,front_sum_fy,44.666332097743634
ours,front_sum_fy,18.86474588338956
ours,front_sum_fy,-39.68234252945092
ours,front_sum_fy,-38.4599956665507
ours,front_sum_fy,-25.96658111640511
ours,front_sum_fy,-13.307912579751758
ours,front_sum_fy,-6.007489425865913
ours,front_sum_fy,9.944747835794033
ours,front_sum_fy,-12.319737143123803
