scenario,signal,t_s,error_est_minus_gt
ours,v_y,67.485,0.003939951442988532
ours,v_y,67.551,0.006027291230541243
ours,v_y,67.617,0.001195672366684386
ours,v_y,67.683,0.005767828916427464
ours,v_y,67.749,0.004159599127245284
ours,v_y,67.815,0.006567230561760562
ours,v_y,67.881,0.0008039317694534809
ours,v_y,67.947,0.004875080291789402
ours,v_y,68.013,0.005217680462233032
ours,v_y,68.079,0.007427166852756684
ours,v_y,68.178,0.00925294452403047
ours,v_y,68.244,-0.0016965726216856547
ours,v_y,68.31,0.006934478487999662
ours,v_y,68.376,0.005470246499638676
ours,v_y,68.442,-0.0019824882552174072
ours,v_y,68.508,0.008609236628610684
ours,v_y,68.574,0.00714864256012937
ours,v_y,68.64,0.009870817709387691
