scenario,e_y_m
ours,-0.06476319564851335
ours,-0.07700106941253715
ours,-0.0853951053179853
ours,-0.08245901660440624
ours,-0.09491166958348746
ours,-0.10789712187183179
ours,-0.11945695391796526
ours,-0.12305935228762405
ours,-0.12269669769291558
ours,-0.13846766585371567
ours,-0.14552778335457972
ours,-0.14086749503938495
ours,-0.14759955692387605
ours,-0.1661557821021125
ours,-0.1790880653712208
ours,-0.21150657421968033
ours,-0.24863796254562023
ours,-0.2636396625200206
ours,-0.25498412899781275
ours,-0.26798886116586507
ours,-0.2529191766998753
ours,-0.2259340647885891
ours,-0.22780522276336412
ours,-0.22214096715579415
ours,-0.20906674022784633
ours,-0.21673756673760614
ours,-0.2235425193487438
ours,-0.22151906636011773
ours,-0.2350496514335088
ours,-0.25837538262180226
ours,-0.25714079593735417
ours,-0.2664566488175196
ours,-0.28834869544220726
ours,-0.2897579562919227
ours,-0.2802347317982447
ours,-0.25852822911517226
ours,-0.23065838347615658
ours,-0.2135243943538752
ours,-0.20331661923050492
ours,-0.1846671931216252
ours,-0.16047681657231855
ours,-0.15454436457816176
ours,-0.14574142157590908
ours,-0.13163578679481697
ours,-0.1183834715429769
ours,-0.11705921799823871
ours,-0.11034240886042422
ours,-0.09918145716854021
ours,-0.09487437380123881
ours,-0.0928530351002554
ours,-0.08627092437377654
ours,-0.07599045416841171
ours,-0.07802289884737945
ours,-0.07153068109748391
ours,-0.06204227698243897
ours,-0.0597117279313768
ours,-0.05418449721367419
ours,-0.04607209973513901
ours,-0.03866575031391356
ours,-0.034190294755697015
ours,-0.02823066283943948
ours,-0.022241196880570163
ours,-0.0179643930733778
ours,-0.013403501810480653
ours,-0.008146385461083427
ours,-0.00281437365224807
ours,3.131564734812353e-05
ours,0.002097403069984176
ours,0.0035293029290240363
ours,0.0036132859352426827
ours,0.0020173288681623602
ours,0.00048765293222541306
ours,-0.000482273767268504
ours,-0.0025856474992123762
ours,-0.004690925485517652
ours,-0.00486379325113398
ours,-0.006311355888900444
ours,-0.006969803654281209
ours,-0.007114359606970131
ours,-0.006747389523542022
ours,-0.005814260440571012
ours,-0.004666775189882844
ours,-0.0047650864980032515
ours,-0.005250159683712202
ours,-0.0051026019044211335
ours,-0.004564797207076393
ours,-0.004932956225560919
ours,-0.005199452882557438
ours,-0.004644109013906383
ours,-0.00382643388624454
ours,-0.004594075774820711
ours,-0.004646874127472299
ours,-0.0040717375065445205
ours,-0.0042510315356433515
ours,-0.005453473367054554
ours,-0.005907459773904208
ours,-0.005711058332632163
ours,-0.007382807871852068
ours,-0.008728023009792576
ours,-0.009164342402625023
ours,-0.00920401061380427
ours,-0.010762892272825939
ours,-0.01092549851565304
ours,-0.01005949417975091
ours,-0.010179404375912873
ours,-0.009406430047422289
ours,-0.007664600219270103
ours,-0.005386934974788038
ours,-0.0049232001257201174
ours,-0.004578418627816071
ours,-0.004669957239761477
ours,-0.005686527637663863
ours,-0.008323110446628902
ours,-0.009616815782899982
ours,-0.011496731762372897
ours,-0.014497309422302963
ours,-0.01680657178365391
ours,-0.017155509837810418
ours,-0.018129950756040056
ours,-0.0210806944459625
ours,-0.02215256420584505
ours,-0.020932468369176026
ours,-0.02394191231024151
ours,-0.025833469515223872
ours,-0.02708900829786872
ours,-0.028015334395231767
ours,-0.028521977531219544
ours,-0.028561653576893678
ours,-0.02806133068947072
ours,-0.031496182631890544
ours,-0.03189076472531262
ours,-0.03234536150809223
ours,-0.03251335394038925
ours,-0.03239390833673356
ours,-0.03217034742039033
ours,-0.03372007893329196
ours,-0.035274529645094546
ours,-0.037131263794075525
ours,-0.03881517869951956
ours,-0.04063827033500869
ours,-0.04057299247601258
ours,-0.04141946369654034
ours,-0.04434543185459554
ours,-0.04791271644893379
ours,-0.049265680955182814
ours,-0.052968627444185234
ours,-0.054853339981554644
ours,-0.05598173712685324
ours,-0.053963713849460165
ours,-0.054277739108644946
ours,-0.058366298788173426
ours,-0.062496357105719436
ours,-0.06657797636029786
ours,-0.06996102768307919
ours,-0.07236244044879767
ours,-0.0744924752502493
ours,-0.07579760814639319
ours,-0.0790987996792821
ours,-0.07833155054833177
ours,-0.0768045532384793
ours,-0.07256302313415627
ours,-0.06635435644507967
ours,-0.05832885366739721
ours,-0.0527695489976715
ours,-0.04722250751779389
ours,-0.04436388754341308
ours,-0.04446915384809452
ours,-0.04622238305382716
ours,-0.04577964822079877
ours,-0.04495656542528405
ours,-0.04322984317542314
ours,-0.04069357453335776
ours,-0.03772111904431463
ours,-0.03562078565748933
ours,-0.03497284340326948
ours,-0.031583342154015315
ours,-0.028410831006768722
ours,-0.026132567207200863
ours,-0.026828152770183418
ours,-0.024521241699374197
ours,-0.022303690151118216
ours,-0.021762024275738645
ours,-0.021289429658053638
ours,-0.020733606997520082
ours,-0.018951725547339815
ours,-0.016710503504493934
ours,-0.014460734231880434
ours,-0.013098057096140536
ours,-0.013395164597713477
ours,-0.010926168349891102
ours,-0.009905671372555658
ours,-0.006860449615744363
ours,-0.003458765959122756
ours,3.826350824248648e-05
ours,0.002863715919301346
ours,0.004645604073177045
ours,0.005083108550080706
ours,0.004642706805275731
ours,0.0038300643328593453
ours,0.002966516420282027
ours,0.0017955440734635508
ours,0.0012052309068289746
ours,0.001142665920998709
ours,0.0015277531085365337
ours,0.002307458442530941
ours,0.0029551475979180952
ours,0.0032987136213810664
ours,0.0035821723988433696
ours,0.0037850297674273115
ours,0.003960019651025715
ours,0.0037772019217804653
ours,0.0033812855046602697
ours,0.003119279181160395
ours,0.0029225569055834066
ours,0.003064885718050636
ours,0.003312587502268219
ours,0.003632312257644793
ours,0.0038852410693874795
ours,0.004109076875782852
ours,0.004091926411925767
ours,0.0039986800083844365
ours,0.0037014447049423804
ours,0.0033988467827584246
ours,0.00275872656726478
ours,0.002450525401691356
ours,0.002297603438113971
ours,0.0024089302172648486
ours,0.002760900662614807
ours,0.003187200273070123
ours,0.003410272633628475
ours,0.003616367292910372
ours,0.0036702586832923906
ours,0.0032687927652031434
ours,0.0029017762897943222
ours,0.0025756740075875695
ours,0.002343043594749239
ours,0.002175711391238788
ours,0.002348614859636333
ours,0.0024783282127465167
ours,0.0026117157969822447
ours,0.0027465786815091264
ours,0.0028649216948922196
ours,0.002840650889454066
ours,0.0029783861707387838
ours,0.003035213726731656
ours,0.0030284032874026146
ours,0.0028405613848130895
ours,0.0026371618194182544
ours,0.0024988126688113843
ours,0.002207234772795774
ours,0.002174114377129277
ours,0.0019479368530980617
ours,0.002026349088116969
ours,0.0021472417455885018
ours,0.0022802775181823276
ours,0.0021814933262824486
ours,0.0019469856201160818
ours,0.001692148032752628
ours,0.0016172023555724863
ours,0.0015871538014602185
ours,0.0015379812718661623
ours,0.001768117175727113
ours,0.00163568957839072
ours,0.001466025964874218
ours,0.0013777636960673675
ours,0.0012566897203214675
ours,0.0011925348492169974
ours,0.0019053849717860644
ours,0.00258575556232421
ours,0.0028120284137252427
ours,0.002997530373366336
ours,0.003030676128486176
ours,0.00297144585376119
ours,0.002567144417296441
ours,0.002371975814919866
ours,0.0023058688402639305
ours,0.002272425650953702
ours,0.0023999968765619495
ours,0.002421999210364012
ours,0.0024951042294540926
