scenario,signal,t_s,error_est_minus_gt
ours,front_sum_fy,15.774,28.878183641493933
ours,front_sum_fy,15.807,29.336788940533722
ours,front_sum_fy,15.873,26.16687971704235
ours,front_sum_fy,15.906,26.600902031651174
ours,front_sum_fy,15.939,25.535683030981772
ours,front_sum_fy,15.972,24.70148749153327
ours,front_sum_fy,16.005,25.20794276672592
ours,front_sum_fy,16.071,23.84945040929381
ours,front_sum_fy,16.104,21.82267345186898
ours,front_sum_fy,16.137,29.038712573246414
ours,front_sum_fy,16.17,26.838193952407238
ours,front_sum_fy,16.203,28.707662550950886
ours,front_sum_fy,16.269,29.75032001019565
ours,front_sum_fy,16.302,28.602769370048975
ours,front_sum_fy,16.335,32.506449598401986
ours,front_sum_fy,16.401,30.32417006937669
ours,front_sum_fy,16.467,29.005517162273236
ours,front_sum_fy,16.5,31.830233047474735
ours,front_sum_fy,16.533,30.718314187323074
ours,front_sum_fy,16.599,38.66513766888562
ours,front_sum_fy,16.665,36.60578675062146
ours,front_sum_fy,16.698,37.6177994794308
ours,front_sum_fy,16.731,38.79713633359165
ours,front_sum_fy,16.797,39.89381004815766
ours,front_sum_fy,16.863,41.37729053076487
ours,front_sum_fy,16.896,41.63672369003177
ours,front_sum_fy,16.929,45.56600436274198
ours,front_sum_fy,16.995,46.2017241573642
ours,front_sum_fy,17.028,43.660917849371515
ours,front_sum_fy,17.094,33.250328880620316
ours,front_sum_fy,17.127,39.65255683912608
ours,front_sum_fy,17.193,41.10891118264226
ours,front_sum_fy,17.226,40.98637340183859
ours,front_sum_fy,17.259,40.04755158539672
ours,front_sum_fy,17.292,42.4518283385039
ours,front_sum_fy,17.325,35.37237042039811
ours,front_sum_fy,17.391,35.262248754248276
ours,front_sum_fy,17.457,26.882551855351778
ours,front_sum_fy,17.523,35.79083462857864
ours,front_sum_fy,17.589,35.18483949148049
ours,front_sum_fy,17.622,30.758497802306863
ours,front_sum_fy,17.655,33.147739613745784
ours,front_sum_fy,17.688,30.77757083307938
ours,front_sum_fy,17.721,33.85458164849945
ours,front_sum_fy,17.787,36.15811548413092
ours,front_sum_fy,17.82,36.60797132462875
ours,front_sum_fy,17.853,25.184909584120703
ours,front_sum_fy,17.886,31.264652874830176
ours,front_sum_fy,17.919,31.702603019385037
ours,front_sum_fy,17.985,33.43895084486644
ours,front_sum_fy,18.018,22.525206114275534
ours,front_sum_fy,18.051,28.72536298205455
ours,front_sum_fy,18.117,29.118007518863976
ours,front_sum_fy,18.183,32.43358019542586
ours,front_sum_fy,18.249,34.7258658165116
ours,front_sum_fy,18.315,34.174302091856646
ours,front_sum_fy,18.348,33.12767671445499
ours,front_sum_fy,18.513,36.72839972892177
ours,front_sum_fy,18.678,41.504810904494434
ours,front_sum_fy,18.843,46.22332106339496
ours,front_sum_fy,19.008,29.325750578130908
ours,front_sum_fy,19.074,30.58804532924148
ours,front_sum_fy,19.107,35.4633020130093
ours,front_sum_fy,19.239,42.33477098526396
ours,front_sum_fy,19.404,40.945438582930365
ours,front_sum_fy,19.47,40.26611602285868
ours,front_sum_fy,19.503,36.69693518288693
ours,front_sum_fy,19.602,39.87648488750801
ours,front_sum_fy,19.668,41.50565025406547
ours,front_sum_fy,19.701,41.87957412880121
ours,front_sum_fy,19.734,40.93121549847433
ours,front_sum_fy,19.767,41.31501893459398
ours,front_sum_fy,19.866,43.82185787658227
ours,front_sum_fy,20.031,37.60874845715978
ours,front_sum_fy,20.196,38.10886476486735
ours,front_sum_fy,20.361,35.79496565486829
ours,front_sum_fy,20.526,31.29400589191556
ours,front_sum_fy,20.691,34.90958761656924
ours,front_sum_fy,20.856,33.97762921583069
ours,front_sum_fy,21.021,26.95360359875076
ours,front_sum_fy,21.351,31.540318832051753
ours,front_sum_fy,21.516,37.39085797527582
ours,front_sum_fy,21.681,42.61470175998659
ours,front_sum_fy,21.846,33.01420739048581
ours,front_sum_fy,22.011,30.205956368779994
ours,front_sum_fy,22.176,24.101977925869278
ours,front_sum_fy,22.341,20.875240790325137
ours,front_sum_fy,22.506,23.087528773392847
