scenario,e_y_m
ours,0.0011867624590680137
ours,0.02007444224371141
ours,0.019767022284591547
ours,0.0011527993096112077
ours,-0.017870977240523223
ours,-0.03383307348174097
ours,-0.036091137604086165
ours,-0.028944992738448694
ours,-0.01923347236321099
ours,-0.0013009639065669765
ours,0.010165092113831709
ours,0.01618004989974403
ours,0.016082808944239857
ours,0.0110046236645992
ours,0.0035567320404028546
ours,-0.003813244399174409
ours,-0.008000984990396504
ours,-0.011090943833882538
ours,-0.009808320551159933
ours,-0.007250237965098959
ours,-0.0007437806721465323
ours,0.0034804606288021678
ours,0.004821846497217203
ours,0.00360088688312773
ours,0.0004842385213706113
ours,-0.0021760371956021374
ours,-0.004545610095100461
ours,-0.004727057609178353
ours,-0.0031556532739119153
ours,-0.000676525968610231
ours,0.0010704279111856119
ours,0.002401350106186695
ours,0.0030252167159041665
ours,0.002538448543994945
ours,0.0016344846944617714
ours,0.0008647071770724879
ours,0.0007585016695293989
ours,0.0009394843540553866
ours,0.0020587159861619186
ours,0.00316475689799281
ours,0.003908749724517491
ours,0.004280494962180137
ours,0.004168302781879463
ours,0.003846748456876381
ours,0.0028453723925143323
ours,0.0016383823127050778
ours,0.0008140558556062882
ours,-1.7814976155189344e-05
ours,-0.0004798512750413056
ours,-0.0008349652241214575
ours,-0.0009063095690759332
ours,-0.0008532361709956415
ours,-0.0007789104123342439
ours,-0.001148785723345272
ours,-0.0014848620685174035
ours,-0.0013356316582030653
ours,0.0005678144450696476
ours,0.005396268522062986
ours,0.012553791292864241
ours,0.017875310434995184
ours,0.023620927848372997
ours,0.02690728577031315
ours,0.028256375028084257
ours,0.029484735871244505
ours,0.03073298533849783
ours,0.03562069279700587
ours,0.03866927059617789
ours,0.04151514464473827
ours,0.04558852093877225
ours,0.04961815756397431
ours,0.057068745123459344
ours,0.060624246263310116
ours,0.06404148840030682
ours,0.06617586608141668
ours,0.07130273827119116
ours,0.07350144710232792
ours,0.08239537680966452
ours,0.08729037743928746
ours,0.09409828819294919
ours,0.09938610612337485
ours,0.10257674149738089
ours,0.11177258978581371
ours,0.11855888506004929
ours,0.12244334424794111
ours,0.12384542670600325
ours,0.11975011031533453
ours,0.1135994582867382
ours,0.09905941117914357
ours,0.09109336616307677
ours,0.08181171263487985
ours,0.07766082357006422
ours,0.07574439209498185
ours,0.07385464911980598
ours,0.07714372515643926
ours,0.07783831468298211
ours,0.07513100517597548
ours,0.07312153128464804
ours,0.06857588003054418
ours,0.06579997158682176
ours,0.06111455339565027
ours,0.05772089426843673
ours,0.055578821642652695
ours,0.05467550100720437
ours,0.052763581794961274
ours,0.05206050655677603
ours,0.048716614512493074
ours,0.048466980094984735
ours,0.045982582575380286
ours,0.043125848797942186
ours,0.03926262525573896
ours,0.03785182068928265
ours,0.03620899497126291
ours,0.03492456486560073
ours,0.03413473239017914
ours,0.03350697752059831
ours,0.03239638492173306
ours,0.03164825587792834
ours,0.03197196504489235
ours,0.030562241843553082
ours,0.028946806425696327
ours,0.027208008694495352
ours,0.024094358842372814
ours,0.021973781107916375
ours,0.01871687487810271
ours,0.016699447125707152
ours,0.014230552376909338
ours,0.011583346783887663
ours,0.009832735059654759
ours,0.008155020507121913
ours,0.006853227171447068
ours,0.006392401918218188
ours,0.005633332711624056
ours,0.004657708687288653
ours,0.003114466622226572
ours,0.0008134352748358307
ours,-0.001032675593830485
ours,-0.003296338462876372
ours,-0.0049689201373848135
ours,-0.006182330247384182
ours,-0.007480620656184073
ours,-0.008511993374963334
ours,-0.009875173018707158
ours,-0.010401311844035255
ours,-0.01257817556072345
ours,-0.013632257518309841
ours,-0.015078364006694395
ours,-0.01603817757131852
ours,-0.016665528898639453
ours,-0.017143279375402137
ours,-0.01981340158317541
ours,-0.021945239218475954
ours,-0.024923932472458027
ours,-0.027148450708715438
ours,-0.029678792186604852
ours,-0.03197933740879836
ours,-0.03327987708711773
ours,-0.036459348153807164
ours,-0.038902219884709204
ours,-0.038399058290704564
ours,-0.038604640699031675
ours,-0.0359865913103519
ours,-0.031632297022450954
ours,-0.02889087647819333
ours,-0.02696195010431419
ours,-0.029389817683901594
ours,-0.03536770381990296
ours,-0.04012913858838232
ours,-0.04733892463238509
ours,-0.05152956130994864
ours,-0.0535022848973663
ours,-0.05358019678049464
ours,-0.05403575519307546
ours,-0.05247570004384522
ours,-0.051591954024047905
ours,-0.051560175888509446
ours,-0.05383026506770945
ours,-0.05654795970661883
ours,-0.0595353978743099
ours,-0.06184480222442658
ours,-0.06191832897291354
ours,-0.060578723721144846
ours,-0.05810978167116
ours,-0.055005118600242243
ours,-0.0516354662132671
ours,-0.04867283433698415
ours,-0.044444496796154476
ours,-0.04535074734649506
ours,-0.043340410230382764
ours,-0.04355855599010952
ours,-0.043844974209477666
ours,-0.044167869949799876
ours,-0.04452019013685837
ours,-0.04471718560336016
ours,-0.04603849415426017
ours,-0.04613582072961637
ours,-0.045182492027290716
ours,-0.04502633208298873
ours,-0.04443732485116969
ours,-0.04332850296932969
ours,-0.04193692625957257
ours,-0.04044989976551541
ours,-0.036976178911365065
ours,-0.03595208459337024
ours,-0.0366226195338287
ours,-0.03614208581687764
ours,-0.035839884441542985
ours,-0.035574394403457776
ours,-0.03528041820728656
ours,-0.03413287268867732
ours,-0.03398225172430419
ours,-0.03304830032670725
ours,-0.03189937894097561
ours,-0.03057607045397831
ours,-0.029130899394161858
ours,-0.028064554126544072
ours,-0.026797428815631796
ours,-0.025686493790685272
ours,-0.024692591069482406
ours,-0.0236517276074103
ours,-0.02253852744457402
ours,-0.02070467097528167
ours,-0.019518445356448866
ours,-0.018826460634726955
ours,-0.01753242309519029
ours,-0.01635521977137418
ours,-0.015250669376948328
ours,-0.014697493417068688
ours,-0.01410966232308039
ours,-0.01408204067417268
ours,-0.013123360180683108
ours,-0.01290033079334324
ours,-0.013152545720209075
ours,-0.012880305125608116
ours,-0.01250206267100712
ours,-0.011851930438200875
ours,-0.010575289903367646
ours,-0.009545876154479854
ours,-0.008414499326890534
ours,-0.007648003884789034
ours,-0.007201379185960477
ours,-0.007296018198315768
ours,-0.006861699354098583
ours,-0.007540505937468273
ours,-0.007313395683278989
ours,-0.006884628742562633
ours,-0.0063702392130335
ours,-0.004996503207224001
ours,-0.004516881937939254
ours,-0.00454681573815191
ours,-0.0036105108935036156
ours,-0.003488350228347148
ours,-0.0033935126051523046
ours,-0.003227192062879511
ours,-0.0032569162442548094
ours,-0.0031505979097577463
ours,-0.002940693504769387
ours,-0.0028578895076323274
ours,-0.002765249728615124
ours,-0.00273081385376929
ours,-0.002505911910043873
ours,-0.0025520307941794135
ours,-0.002791170869965498
ours,-0.0029651851528624956
ours,-0.003279682973896414
ours,-0.003261787653623782
ours,-0.0026738551560999135
ours,-0.002147300022614096
ours,-0.0011622841794919903
ours,-0.0005192881394407989
ours,0.0006933943452855917
ours,0.0008744695141736925
ours,0.0009027847702612335
ours,0.001387847520917529
ours,0.001446629227452756
ours,0.0018300210362591461
ours,0.0018531004385244354
ours,0.0027549531240049774
ours,0.003004173529288001
ours,0.003987306676466018
ours,0.005769100961270701
ours,0.007337542649027806
ours,0.012706341325916498
ours,0.019949229727724033
ours,0.03333598503474121
ours,0.04303014980571959
ours,0.06113130474950301
ours,0.07226916871243083
ours,0.08095792718656675
ours,0.08600861469910814
ours,0.08942720447722713
ours,0.09871711280567337
ours,0.1054826936034835
ours,0.11572253561324783
ours,0.12897775484319132
ours,0.1513688262901448
ours,0.16860107921200562
ours,0.1837698589730604
ours,0.195095294265188
ours,0.1984046306635363
ours,0.2108669921201326
ours,0.2161846274468891
ours,0.22274523612019856
ours,0.2316832821461638
ours,0.24560367494933447
ours,0.2662974910081446
ours,0.30059859113886367
ours,0.3314088552977852
ours,0.3627389215718736
ours,0.39037192639177903
ours,0.41218267400020725
ours,0.43274963161361946
ours,0.4497516124447784
ours,0.4580053026722615
ours,0.453282571693193
ours,0.4337260945411744
ours,0.400154432070077
ours,0.3594937377344942
ours,0.3069558181292401
ours,0.25494560999593285
ours,0.19648388343552675
ours,0.15665934919890923
ours,0.12191272405314396
ours,0.1045429389078339
ours,0.11242586537063223
ours,0.12399995883601889
ours,0.12924236694646377
ours,0.11981830042553854
ours,0.10078132198515452
ours,0.078106921194389
ours,0.0446435340884224
ours,0.02804388065956835
ours,0.020215742878249746
ours,0.02188709900148969
ours,0.03310379482942961
ours,0.04146071425614101
ours,0.043124851968075265
ours,0.03900499373645192
ours,0.029806720385838592
ours,0.01757071323077966
ours,0.0051846565243772805
ours,-0.004735461746000668
ours,-0.012482828561513976
ours,-0.014072897122820865
ours,-0.014174100294530423
ours,-0.013919289630404313
ours,-0.015031673718409688
ours,-0.01847925698238781
ours,-0.023405218760994856
ours,-0.03053678379558225
ours,-0.03869533741347833
ours,-0.04678191874125667
ours,-0.05407625843179917
ours,-0.06030974021916041
ours,-0.06586049465118238
ours,-0.07226448189642215
ours,-0.08057987429736581
ours,-0.09161018027212844
ours,-0.10520339060321576
ours,-0.12003153050985046
ours,-0.13604418891478398
ours,-0.15399401673746424
ours,-0.17207175558549054
ours,-0.1933294902409741
ours,-0.21211081180227467
ours,-0.2314547536541745
ours,-0.2518856916730062
ours,-0.2730979992190043
ours,-0.2904111035576189
ours,-0.3094303743622002
ours,-0.34256096850078444
ours,-0.39986546149642443
ours,-0.4689289033852916
ours,-0.5230556597729084
ours,-0.5360184024018182
ours,-0.5382922136853197
ours,-0.5345981221112989
ours,-0.5042916581383426
ours,-0.4673042619201951
ours,-0.4453734270812423
ours,-0.41664479821618383
ours,-0.40056791491426597
ours,-0.4077841093727803
ours,-0.43067745403032043
ours,-0.46168650743954104
ours,-0.48442470480448707
ours,-0.5052595301320632
ours,-0.5110974164218001
ours,-0.4975798368377763
ours,-0.4650416582306395
ours,-0.41053926115319167
ours,-0.3365506782019328
ours,-0.28228583107859195
ours,-0.20508018910274914
ours,-0.14585729066755088
ours,-0.11328950250081687
ours,-0.10411140042721058
ours,-0.10872987217186403
ours,-0.12456243237256094
ours,-0.1424242800844826
ours,-0.1480032375722271
ours,-0.15087398012913775
ours,-0.14240421170830103
ours,-0.12182855270135343
ours,-0.10402063220710991
ours,-0.07411220297791907
ours,-0.045436262372780784
ours,-0.02820552841083949
ours,-0.010826030034842306
ours,6.48296422712906e-05
ours,0.005169803544939018
ours,0.00618293914932333
ours,0.003328434985606532
ours,-0.0022338615198813083
ours,-0.008583542047644777
ours,-0.013855691342632898
ours,-0.016487882311138097
ours,-0.018648795811732594
ours,-0.01883534885370952
ours,-0.017818251041843314
ours,-0.01516804337436084
ours,-0.013057119118611071
ours,-0.01170717069979249
ours,-0.011218016416104884
ours,-0.010946922321568214
ours,-0.01166053516949836
ours,-0.012623830976308759
ours,-0.01385667309245231
ours,-0.01470945219046019
ours,-0.014206444213519326
ours,-0.013788737190034622
ours,-0.013661262294017264
ours,-0.013385864348350186
ours,-0.013707338234844347
ours,-0.014839829988051426
ours,-0.015825725996413298
ours,-0.018134182740045593
ours,-0.020706663996078456
ours,-0.022801855100676574
ours,-0.022939005320198824
ours,-0.022753060599985747
ours,-0.022434454210609356
ours,-0.019587863255283
ours,-0.015751754363427635
ours,-0.012335685282855391
ours,-0.011203987757730662
ours,-0.012450032979535657
ours,-0.016395536055287634
ours,-0.022507143346837438
ours,-0.026375702302511572
ours,-0.03258790083239768
ours,-0.03770183721509351
ours,-0.04117559642993189
ours,-0.04369281661874724
ours,-0.04506452577469928
ours,-0.04612923967998387
