scenario,signal,series,t_s,value
ours,v_y,ground_truth,29.238,0.03193413836818926
ours,v_y,ground_truth,29.304,0.02793949806615381
ours,v_y,ground_truth,29.37,0.02470328745336703
ours,v_y,ground_truth,29.436,0.021461733675233408
ours,v_y,ground_truth,29.502,0.01828727596065227
ours,v_y,ground_truth,29.568,0.012773942840166752
ours,v_y,ground_truth,29.634,0.013524666879722202
ours,v_y,ground_truth,29.7,0.013612942353635749
ours,v_y,ground_truth,29.766,0.012104656355916621
ours,v_y,ground_truth,29.832,0.011839053247966413
ours,v_y,ground_truth,29.931,0.00909961338810783
ours,v_y,ground_truth,29.997,0.01036649200508366
ours,v_y,ground_truth,30.063,0.012165016743429735
ours,v_y,ground_truth,30.129,0.014500942497760239
ours,v_y,ground_truth,30.195,0.016316606434975345
ours,v_y,ground_truth,30.261,0.018666769294551022
ours,v_y,ground_truth,30.327,0.02125037132181551
ours,v_y,ground_truth,30.393,0.024277048462933326
ours,v_y,ground_truth,30.459,0.027491969324129784
ours,v_y,ground_truth,30.558,0.032951673270297244
ours,v_y,ground_truth,30.624,0.03640171363928957
ours,v_y,ground_truth,30.69,0.039086894904531544
ours,v_y,ground_truth,30.756,0.04150150960346366
ours,v_y,ground_truth,30.855,0.045077179109490606
ours,v_y,ground_truth,30.921,0.04792486873698376
ours,v_y,ground_truth,30.987,0.050333992664793215
ours,v_y,ground_truth,31.053,0.05126997939265299
ours,v_y,ground_truth,31.119,0.05101932146786936
ours,v_y,ground_truth,31.185,0.05041692462871916
ours,v_y,ground_truth,31.251,0.04914053548436792
ours,v_y,ground_truth,31.317,0.04844609685169132
ours,v_y,ground_truth,31.383,0.04787822582299883
ours,v_y,ground_truth,31.449,0.04740468902228634
ours,v_y,ground_truth,31.515,0.047383202873144015
ours,v_y,ground_truth,31.581,0.04315710476470058
ours,v_y,ground_truth,31.647,0.03904894748740051
ours,v_y,ground_truth,31.713,0.03664686171936138
ours,v_y,ground_truth,31.779,0.032898623245864345
ours,v_y,ground_truth,31.845,0.029069747559862247
ours,v_y,ground_truth,31.911,0.025172538891215623
ours,v_y,ground_truth,31.977,0.02142025873513087
ours,v_y,ground_truth,32.043,0.01900968729927599
ours,v_y,ground_truth,32.109,0.016858512667809133
ours,v_y,ground_truth,32.175,0.01558832765375806
ours,v_y,ground_truth,32.274,0.013792606924131201
ours,v_y,ground_truth,32.34,0.012749057737264202
ours,v_y,ground_truth,32.406,0.01226172271934134
ours,v_y,ground_truth,32.472,0.01227668872919363
ours,v_y,ground_truth,32.538,0.01402203309248562
ours,v_y,ground_truth,32.604,0.016284023533605696
ours,v_y,ground_truth,32.67,0.01838131222173356
ours,v_y,ground_truth,32.736,0.020516286099722558
ours,v_y,ground_truth,32.802,0.02290033020370874
ours,v_y,ground_truth,32.868,0.02629098381662276
ours,v_y,ground_truth,32.934,0.029585707811965456
ours,v_y,ground_truth,33.0,0.03289723873089634
ours,v_y,ground_truth,33.066,0.0358110474377471
ours,v_y,ground_truth,33.132,0.038342207437741305
ours,v_y,ground_truth,33.198,0.04071524564458451
ours,v_y,ground_truth,33.264,0.0431798723160739
ours,v_y,ground_truth,33.33,0.04488141043663085
ours,v_y,ground_truth,33.396,0.04619345688870102
ours,v_y,ground_truth,33.462,0.047290112130246253
ours,v_y,ground_truth,33.528,0.04870150592786615
ours,v_y,ground_truth,33.594,0.04861200331538362
ours,v_y,ground_truth,33.66,0.04714934770641799
ours,v_y,ground_truth,33.726,0.044752325052471065
ours,v_y,ground_truth,33.792,0.04279146952517032
ours,v_y,ground_truth,33.891,0.038906554114583436
ours,v_y,ground_truth,33.957,0.03611052074184151
ours,v_y,ground_truth,34.023,0.03336575798593544
ours,v_y,ground_truth,34.089,0.02931224116882558
ours,v_y,ground_truth,34.155,0.026068591181401368
ours,v_y,ground_truth,34.221,0.022583205842500842
ours,v_y,ground_truth,34.287,0.019498726363975427
ours,v_y,ground_truth,34.353,0.016608350686285966
ours,v_y,ground_truth,34.419,0.01396655917909917
