scenario,signal,error_gt_minus_est
ours,v_y,0.004403682235009677
ours,v_y,0.004081249455157164
ours,v_y,0.001955747710248902
ours,v_y,0.0014182287815992442
ours,v_y,0.0017458530368999609
ours,v_y,0.001743348453541807
ours,v_y,0.002088906033479866
ours,v_y,0.0014632827062431991
ours,v_y,0.002160000989821678
ours,v_y,0.003826372642428341
ours,v_y,0.0030059413975392704
ours,v_y,0.0012621444324708159
ours,v_y,0.002524302040939612
ours,v_y,0.005811961611211287
ours,v_y,0.0022180264682392786
ours,v_y,0.004655541585082371
ours,v_y,0.0027417240762032218
ours,v_y,0.003122829006554622
ours,v_y,0.0030326958050290002
ours,v_y,0.003651183956027794
ours,v_y,0.0027266397220756175
ours,v_y,0.006265615007366759
ours,v_y,0.0032140833164890532
ours,v_y,0.0034556129534802056
ours,v_y,0.003992705432309535
ours,v_y,0.005427886484180034
ours,v_y,0.003773913575400431
ours,v_y,0.004345955358593397
ours,v_y,0.00445525298284828
ours,v_y,0.0036621523589320344
ours,v_y,0.00427832360419537
ours,v_y,0.003993629206941017
ours,v_y,0.0038745553532116353
ours,v_y,0.0035249378474624636
ours,v_y,0.0028080281417983827
ours,v_y,0.003521095616848789
ours,v_y,0.0038223532872678004
ours,v_y,0.002411249986972591
ours,v_y,0.002644311383052232
ours,v_y,0.0022701274158002382
ours,v_y,0.001977141739078654
ours,v_y,0.000915716624792999
ours,v_y,0.0005467521853809929
ours,v_y,0.0012032193651929438
ours,v_y,0.0010851072979336657
ours,v_y,0.0012924676245381211
ours,v_y,0.0012455256405672702
ours,v_y,0.0013591807029769837
ours,v_y,0.0014572641546261242
ours,v_y,0.0015193690557734063
ours,v_y,0.0020431330653330818
ours,v_y,0.0018425563443643378
ours,v_y,0.0023628078068064946
ours,v_y,0.00232922153683051
ours,v_y,0.00270870217749453
ours,v_y,0.002515829009706927
ours,v_y,0.0011241319132044604
ours,v_y,0.007373641344413803
ours,v_y,0.003740156233319348
ours,v_y,0.00392467985845674
ours,v_y,0.003680074033236287
ours,v_y,0.002815884046924736
ours,v_y,0.007434063890891886
ours,v_y,0.0032968343094032463
ours,v_y,0.0038254459326820915
ours,v_y,0.0040827975669660045
ours,v_y,0.0038067410533860653
ours,v_y,0.0036203848932935857
ours,v_y,0.003505100867572726
ours,v_y,0.0031754312743221477
ours,v_y,0.003225697829388998
ours,v_y,0.0027115664901010694
ours,v_y,0.003019936972335248
ours,v_y,0.0020733124846689724
ours,v_y,0.0016901693457435848
ours,v_y,0.0010724103658787537
ours,v_y,0.0015562523243057153
ours,v_y,0.0019049914244144428
ours,v_y,0.001220859899380769
ours,v_y,0.0015676003881481965
ours,v_y,0.001351552011843317
ours,v_y,0.0016095243689459027
ours,v_y,0.0016099149574052424
ours,v_y,0.002200640389320975
ours,v_y,0.0024398038560131813
ours,v_y,0.0021738575052165365
ours,v_y,0.0021214258494701224
ours,v_y,0.0019325861745886422
ours,v_y,0.0026232573149160415
ours,v_y,0.0023307011479652383
ours,v_y,0.0022329538429860726
ours,v_y,0.002681692172082327
ours,v_y,0.0027540341119865683
ours,v_y,0.003107581722507507
ours,v_y,0.0029834100160482657
ours,v_y,0.002917073690148906
ours,v_y,0.005368426179861236
ours,v_y,0.0028731958533749213
ours,v_y,0.002891839860384911
ours,v_y,0.0023162552258718574
ours,v_y,0.0022673219367962596
ours,v_y,0.0022228115115866653
ours,v_y,0.001963348952729059
ours,v_y,0.0021107073484691666
ours,v_y,0.0015544371367009792
ours,v_y,0.001638415292983711
ours,v_y,0.001306427366555174
ours,v_y,0.0010969165425591676
ours,v_y,0.0010020090886158628
ours,v_y,0.0010567026173916166
ours,v_y,0.0007662442306783646
ours,v_y,0.0008949729703318504
ours,v_y,0.0007265036815568351
ours,v_y,0.0010766516355279407
ours,v_y,0.0010313839266931565
ours,v_y,0.0014711400034655847
ours,v_y,0.0008796656876298367
ours,v_y,0.0014743524851239947
ours,v_y,0.0016436124581610603
ours,v_y,0.0010962480439704533
ours,v_y,0.0013655929872413292
ours,v_y,0.0011620991600587924
ours,v_y,0.0020537136368386014
ours,v_y,0.0016712839918377811
ours,v_y,0.0021160907348906355
ours,v_y,0.0018342744903374758
ours,v_y,0.0022626683211521594
ours,v_y,0.002162544374124751
ours,v_y,0.0024632660143740527
ours,v_y,0.002024710150739661
ours,v_y,0.002146850867578501
ours,v_y,0.00185877590204841
ours,v_y,0.0027694435002818766
ours,v_y,0.0025461075644437024
ours,v_y,0.0024226577849228055
ours,v_y,0.004656550550481399
ours,v_y,0.0023642731837418794
ours,v_y,0.0019397894032171688
ours,v_y,0.0018624748231466995
ours,v_y,0.0018882734010087568
ours,v_y,0.0028605043464742866
ours,v_y,0.0013983713043184826
ours,v_y,0.0009272198058424205
ours,v_y,0.0007800118705320117
ours,v_y,0.000735548765810709
ours,v_y,0.00047242960560726216
ours,v_y,0.0002089526295423888
ours,v_y,0.00040207693181870674
ours,v_y,0.0002915497764101674
ours,v_y,0.00068011328713425
ours,v_y,0.004791742209248509
ours,v_y,0.002830361482654982
ours,v_y,0.0007361074978169541
ours,v_y,-0.00039699911147270117
ours,v_y,-0.0003141051861481198
ours,v_y,-0.0021049718842433424
ours,v_y,0.0002168990437499685
ours,v_y,-0.0017551024366236068
ours,v_y,-0.0030280927235897814
ours,v_y,-0.0015848814832588598
ours,v_y,-0.003668038402514562
ours,v_y,-0.0017420074350500137
ours,v_y,-0.0034483391168491084
ours,v_y,-0.0036664140805603984
ours,v_y,-0.0028260067140860323
ours,v_y,-0.0012198671276699435
ours,v_y,-0.004473271317531141
ours,v_y,-0.004747082717578538
ours,v_y,-0.004966918942496595
ours,v_y,-0.003822013516226408
ours,v_y,-0.0034766086022660347
ours,v_y,-0.0036243477264437107
ours,v_y,-0.011413968550736925
ours,v_y,-0.006317722033090806
ours,v_y,-0.010384322559371995
ours,v_y,-0.006518172182426951
ours,v_y,-0.003642847334561744
ours,v_y,-0.0031256965521445634
ours,v_y,-0.006031763057207096
ours,v_y,-0.006046404289753282
ours,v_y,-0.00578278172424998
ours,v_y,-0.013900167016894227
ours,v_y,-0.007248702029956311
ours,v_y,-0.007019077479118341
ours,v_y,-0.006250634685918521
ours,v_y,-0.006055892889005099
ours,v_y,-0.008294957070353548
ours,v_y,-0.00786619911940567
ours,v_y,-0.0086464188002916
ours,v_y,-0.0066992492657607094
ours,v_y,-0.01058047896415476
ours,v_y,-0.004916036130596546
ours,v_y,-0.010078325211125616
ours,v_y,-0.0033695005984202275
ours,v_y,-0.009516548921694512
ours,v_y,-0.019245143069091364
ours,v_y,-0.005370524525364795
ours,v_y,-0.00817635517321591
ours,v_y,0.004945888685226829
ours,v_y,-0.006771368694892144
ours,v_y,-0.002220707474532735
ours,v_y,-0.011852694943688902
ours,v_y,-0.011197153775773128
ours,v_y,-0.005463651061093144
ours,v_y,-0.016410041543068576
ours,v_y,-0.009594960653427131
ours,v_y,0.004663740180458342
ours,v_y,-0.010903073007149211
ours,v_y,-0.0038692180897751394
ours,v_y,-0.009351184020674363
ours,v_y,-0.006304428292944975
ours,v_y,-0.016260165014090333
ours,v_y,-0.0014024608618170564
ours,v_y,-0.014419450911783205
ours,v_y,-0.011414937519691248
ours,v_y,-0.011951846428796986
ours,v_y,-0.008341384706105681
ours,v_y,-0.01595264334646329
ours,v_y,-0.010342810234599265
ours,v_y,-0.011122426349265191
ours,v_y,-0.018701589976024613
ours,v_y,-0.010200482657795162
ours,v_y,-0.010905188064741556
ours,v_y,-0.010971789746945126
ours,v_y,-0.022607954021604038
ours,v_y,-0.01075325840257596
ours,v_y,-0.02164133223569098
ours,v_y,-0.013253099337159291
ours,v_y,-0.00949930016202738
ours,v_y,-0.0116573216885274
ours,v_y,-0.0024340983371625713
ours,v_y,-0.01902081677000056
ours,v_y,-0.015731992417685525
ours,v_y,-0.007816749322670513
ours,v_y,-0.02342138660223292
ours,v_y,-0.01180991213325977
ours,v_y,-0.019995504853757784
ours,v_y,-0.011124628824770055
ours,v_y,-0.009034657452501427
ours,v_y,-0.053619553828527455
ours,v_y,-0.013055461637030197
ours,v_y,-0.01852981518638308
ours,v_y,-0.010429649116791118
ours,v_y,-0.01854399616030966
ours,v_y,-0.02121171908240982
ours,v_y,-0.010928718074445842
ours,v_y,-0.02357836419980952
ours,v_y,-0.012011414067429449
ours,v_y,-0.025259225176282873
ours,v_y,-0.014884186746181138
