scenario,signal,series,t_s,value
ours,front_mu,plant_mu,11.385,1.0499999523162842
ours,front_mu,plant_mu,11.55,1.0499999523162842
ours,front_mu,plant_mu,11.682,1.0499999523162842
ours,front_mu,plant_mu,11.715,1.0499999523162842
ours,front_mu,plant_mu,11.748,1.0499999523162842
ours,front_mu,plant_mu,11.781,1.0499999523162842
ours,front_mu,plant_mu,11.847,1.0499999523162842
ours,front_mu,plant_mu,11.88,1.0499999523162842
ours,front_mu,plant_mu,12.012,1.0499999523162842
ours,front_mu,plant_mu,12.045,1.0499999523162842
ours,front_mu,plant_mu,12.078,1.0499999523162842
ours,front_mu,plant_mu,12.111,1.0499999523162842
ours,front_mu,plant_mu,12.144,1.0499999523162842
ours,front_mu,plant_mu,12.21,1.0499999523162842
ours,front_mu,plant_mu,12.276,1.0499999523162842
ours,front_mu,plant_mu,12.309,1.0499999523162842
ours,front_mu,plant_mu,12.375,1.0499999523162842
ours,front_mu,plant_mu,12.408,1.0499999523162842
ours,front_mu,plant_mu,12.474,1.0499999523162842
ours,front_mu,plant_mu,12.507,1.0499999523162842
ours,front_mu,plant_mu,12.54,1.0499999523162842
ours,front_mu,plant_mu,12.573,1.0499999523162842
ours,front_mu,plant_mu,12.639,1.0499999523162842
ours,front_mu,plant_mu,12.705,1.0499999523162842
ours,front_mu,plant_mu,12.738,1.0499999523162842
ours,front_mu,plant_mu,12.837,1.0499999523162842
ours,front_mu,plant_mu,12.903,1.0499999523162842
ours,front_mu,plant_mu,12.936,1.0499999523162842
ours,front_mu,plant_mu,12.969,1.0499999523162842
ours,front_mu,plant_mu,13.035,1.0499999523162842
ours,front_mu,plant_mu,13.068,1.0499999523162842
ours,front_mu,plant_mu,13.101,1.0499999523162842
ours,front_mu,plant_mu,13.134,1.0499999523162842
ours,front_mu,plant_mu,13.167,1.0499999523162842
ours,front_mu,plant_mu,13.233,1.0499999523162842
ours,front_mu,plant_mu,13.266,1.0499999523162842
ours,front_mu,plant_mu,13.299,1.0499999523162842
ours,front_mu,plant_mu,13.332,1.0499999523162842
ours,front_mu,plant_mu,13.365,1.0499999523162842
ours,front_mu,plant_mu,13.431,1.0499999523162842
ours,front_mu,plant_mu,13.464,1.0499999523162842
ours,front_mu,plant_mu,13.497,1.0499999523162842
ours,front_mu,plant_mu,13.53,1.0499999523162842
ours,front_mu,plant_mu,13.563,1.0499999523162842
ours,front_mu,plant_mu,13.629,1.0499999523162842
ours,front_mu,plant_mu,13.662,1.0499999523162842
ours,front_mu,plant_mu,13.695,1.0499999523162842
ours,front_mu,plant_mu,13.761,1.0499999523162842
ours,front_mu,plant_mu,13.827,1.0499999523162842
