scenario,signal,error_gt_minus_est
ours,omega,0.009127846294517648
ours,omega,0.007766227220431715
ours,omega,0.011623809525157527
ours,omega,0.009812073817295985
ours,omega,0.019224751714702698
ours,omega,0.012795377845770534
ours,omega,0.011819170183748506
ours,omega,0.033835211627317424
ours,omega,0.013299547474296639
ours,omega,0.02280571670728271
ours,omega,0.016046260728413878
ours,omega,0.015149393574071884
ours,omega,0.04063130549613264
ours,omega,0.010467259371251383
ours,omega,0.022585535669975565
ours,omega,0.017126466341787647
ours,omega,0.01714540338950496
ours,omega,0.02009523838731797
ours,omega,0.015607497619253285
ours,omega,0.01689479655333387
ours,omega,0.013276496884102512
ours,omega,0.015444191239469371
ours,omega,0.032881555587302255
ours,omega,0.03579968268036318
ours,omega,0.016303357969574356
ours,omega,0.023800003911542827
ours,omega,0.016401918727803097
ours,omega,0.015392688156511874
ours,omega,0.021346700790870282
ours,omega,0.03430797445404857
ours,omega,0.017205488962177468
ours,omega,0.019306613893930125
ours,omega,0.020712532266698863
ours,omega,0.019909720624634253
ours,omega,0.018576360001626768
ours,omega,0.016982538953283915
ours,omega,0.016826724653699582
ours,omega,0.026035566082681122
ours,omega,0.019982295870304034
ours,omega,0.03688341769121278
ours,omega,0.05048942672281337
ours,omega,0.03481668217158693
ours,omega,0.023127239425201424
ours,omega,0.045088791442562476
ours,omega,0.031965752097089295
ours,omega,0.028481378746373437
ours,omega,0.0520579386486113
ours,omega,0.07948421144675308
ours,omega,0.05016897418285274
ours,omega,0.02680494662455593
ours,omega,0.030846727643177724
ours,omega,0.05834313965566143
ours,omega,0.026925802506576058
ours,omega,0.04282938672045683
ours,omega,0.06130640589060346
ours,omega,0.06836124554800438
ours,omega,0.05006651600138806
ours,omega,0.029875635069147755
ours,omega,0.043740336363711
ours,omega,0.0437376928919912
ours,omega,0.0442157602693439
ours,omega,0.023668710096194534
ours,omega,0.02037188410478008
ours,omega,0.013421890922699298
ours,omega,0.025926937237759712
ours,omega,0.005592100252173021
ours,omega,0.015970328199791384
ours,omega,0.017078116029663304
ours,omega,0.03689041231553217
ours,omega,0.018843075997532016
ours,omega,0.022958786923653746
ours,omega,0.020553846770221984
ours,omega,0.030122720532061387
ours,omega,0.014190462833294004
ours,omega,0.027424251956082724
ours,omega,0.022769561288405488
ours,omega,0.015847885978545306
ours,omega,0.009006579457271763
ours,omega,0.017622751349603838
ours,omega,0.02217937761443478
ours,omega,0.02877216233926061
ours,omega,0.015077800240887396
ours,omega,0.009104857602544592
ours,omega,0.005942337796247227
ours,omega,0.016030873992838535
ours,omega,-0.00011670462591242825
ours,omega,0.004785735106498795
ours,omega,0.020732880566610157
ours,omega,-0.0022357812088357742
ours,omega,0.0019488847022643419
ours,omega,-0.003685695693366714
ours,omega,0.0025420289091119264
ours,omega,-0.00044426434738517595
ours,omega,-0.0017163756016071036
ours,omega,-0.003350543054138594
ours,omega,-0.008563028664563224
ours,omega,-0.009134352077784028
ours,omega,-0.008446403592263535
ours,omega,-0.011008170960589952
ours,omega,-0.02530079337916527
ours,omega,-0.00737377780053132
ours,omega,-0.01451940542344729
ours,omega,-0.001903015073528233
ours,omega,0.006238560035729385
ours,omega,0.022129676181252462
ours,omega,0.015295127941772478
ours,omega,0.10517835273584798
ours,omega,0.029899280595191466
ours,omega,-0.010640734264350929
ours,omega,-0.05884350247040153
ours,omega,-0.03441790820325143
ours,omega,-0.011529696571573031
ours,omega,-0.006588270927504823
ours,omega,-0.011624332598091968
ours,omega,-0.0050491068987508075
ours,omega,-0.008603631913392312
ours,omega,-0.004211083005448653
ours,omega,-0.0017632422732686039
ours,omega,-0.001993105761230879
ours,omega,-0.0020503601628201473
ours,omega,0.00046456318178943884
ours,omega,0.002526639537314041
ours,omega,0.0023398836505204405
ours,omega,0.003709742764742105
ours,omega,0.002809553113436402
ours,omega,0.005797058049023772
ours,omega,0.0017781877478851328
ours,omega,0.0022641497198964203
ours,omega,-0.00019452417623821994
ours,omega,-0.0054544051845340155
ours,omega,-0.007408891648170272
ours,omega,-0.0038142622103144452
ours,omega,-0.007223588548375636
ours,omega,-0.005041893173139064
ours,omega,-0.003114849123959096
ours,omega,-0.01567919553571314
ours,omega,-0.004390348565234983
ours,omega,-0.004204000997888792
ours,omega,-0.004493496931451402
ours,omega,-0.0018661458232089104
ours,omega,0.013265929937331906
ours,omega,0.002259412970786221
ours,omega,0.0026697881701351726
ours,omega,0.004439887714469962
ours,omega,0.00208571671311987
ours,omega,0.0037619167916709724
ours,omega,0.0046818708324395455
ours,omega,-0.0034569462535811862
ours,omega,-0.012512083247475169
ours,omega,-0.011662978039858253
ours,omega,-0.011808244682067719
ours,omega,-0.032578734156223116
ours,omega,-0.007754393216329817
ours,omega,-0.012258447519063066
ours,omega,-0.0063457462640429795
ours,omega,0.007577961220961881
ours,omega,0.004030689869303961
ours,omega,0.02294615800294957
ours,omega,0.0004756101634365989
ours,omega,-0.016593354459134617
ours,omega,-0.002064422422280207
ours,omega,-0.002157859294962001
ours,omega,-0.009461967718315718
ours,omega,-0.004330550543123941
ours,omega,-0.0028028755184498124
ours,omega,-0.0028947954081358206
ours,omega,-0.006720144782244765
ours,omega,-0.0035414529849975805
ours,omega,-0.004568118943136062
ours,omega,-0.004600705900628794
ours,omega,-0.004368339108612687
ours,omega,-0.009448259004245832
ours,omega,-0.0027379403723514287
ours,omega,-0.005902835223482757
ours,omega,-0.003351353253286579
ours,omega,-0.004239876978163246
ours,omega,-0.003941871285893682
ours,omega,-0.0024752571436329578
ours,omega,-0.0009258020080548874
ours,omega,-0.00037028059789978585
ours,omega,0.0005543281024690131
ours,omega,-0.0002971176272368332
ours,omega,-0.00018865116861258371
ours,omega,0.0004924314669283855
ours,omega,0.0006400367189185298
ours,omega,0.0004819612419849949
ours,omega,0.0007510205863907431
ours,omega,-0.0002832881720325666
ours,omega,-0.00028685749905656664
ours,omega,-0.0003984428200461028
ours,omega,-0.001238288352919106
ours,omega,-0.0029704420281607274
ours,omega,-0.0034893197012541687
ours,omega,-0.003334985702613329
ours,omega,-0.004989042570574098
ours,omega,-0.006639647848443942
ours,omega,-0.006592073029291532
ours,omega,-0.00520945102375136
ours,omega,-0.008490056830735334
ours,omega,-0.002993886788156194
ours,omega,-0.009957710483162623
ours,omega,-0.0038219117495747836
ours,omega,-0.004281085286452743
ours,omega,-0.0058331451597701915
ours,omega,-0.003403297001899756
ours,omega,-0.004671991780622691
ours,omega,-0.0021165539436722404
ours,omega,-0.002200076936679364
ours,omega,-0.0020140338140918245
ours,omega,-0.0007397287616263057
ours,omega,-0.001111210609866387
ours,omega,-0.0006736068091037738
ours,omega,-0.0006479037717372748
ours,omega,0.00023745842259027296
ours,omega,-0.0004799304208125618
ours,omega,-0.000340724114636481
ours,omega,-0.001965764501767163
ours,omega,-0.0015078288530936046
ours,omega,-0.004364505084493804
ours,omega,-0.004133588996035638
ours,omega,-0.008041493279343925
ours,omega,-0.0070288930027281385
ours,omega,-0.005955279124235647
ours,omega,-0.009272212553683244
ours,omega,-0.0069304790323033195
ours,omega,-0.010733331129493817
ours,omega,-0.008034585903310434
ours,omega,-0.007467388165900566
ours,omega,-0.009858631785792646
ours,omega,-0.008294515493254787
ours,omega,-0.012308673200560491
ours,omega,-0.009725543389524006
ours,omega,-0.01861956540022152
ours,omega,-0.01199845155437114
ours,omega,-0.010314154500967475
ours,omega,-0.012419973150573131
ours,omega,-0.010789259535578216
