t_s,commanded_tire_friction,schedule
25.167,1.500000,constant
25.200,1.500000,constant
25.233,1.500000,constant
25.266,1.500000,constant
25.300,1.500000,constant
25.333,1.500000,constant
25.367,1.500000,constant
25.400,1.500000,constant
25.433,1.500000,constant
25.467,1.500000,constant
25.500,1.500000,constant
25.533,1.500000,constant
25.567,1.500000,constant
25.600,1.500000,constant
25.633,1.500000,constant
25.667,1.500000,constant
25.700,1.500000,constant
25.733,1.500000,constant
25.767,1.500000,constant
25.800,1.500000,constant
25.833,1.500000,constant
25.867,1.500000,constant
25.900,1.500000,constant
25.933,1.500000,constant
25.967,1.500000,constant
26.000,1.500000,constant
26.033,1.500000,constant
26.067,1.500000,constant
26.100,1.500000,constant
26.133,1.500000,constant
26.167,1.500000,constant
26.200,1.500000,constant
26.233,1.500000,constant
26.267,1.500000,constant
26.300,1.500000,constant
26.333,1.500000,constant
26.367,1.500000,constant
26.400,1.500000,constant
26.433,1.500000,constant
26.467,1.500000,constant
26.500,1.500000,constant
26.533,1.500000,constant
26.566,1.500000,constant
26.600,1.500000,constant
26.633,1.500000,constant
26.666,1.500000,constant
26.700,1.500000,constant
26.733,1.500000,constant
26.767,1.500000,constant
26.800,1.500000,constant
26.833,1.500000,constant
26.867,1.500000,constant
26.900,1.500000,constant
26.933,1.500000,constant
26.966,1.500000,constant
27.000,1.500000,constant
27.033,1.500000,constant
27.067,1.500000,constant
27.100,1.500000,constant
27.133,1.500000,constant
27.167,1.500000,constant
27.200,1.500000,constant
27.233,1.500000,constant
27.266,1.500000,constant
27.300,1.500000,constant
27.333,1.500000,constant
27.367,1.500000,constant
27.400,1.500000,constant
27.433,1.500000,constant
27.467,1.500000,constant
27.500,1.500000,constant
27.533,1.500000,constant
27.567,1.500000,constant
27.600,1.500000,constant
27.633,1.500000,constant
27.667,1.500000,constant
27.700,1.500000,constant
27.733,1.500000,constant
27.766,1.500000,constant
27.800,1.500000,constant
27.833,1.500000,constant
27.867,1.500000,constant
27.900,1.500000,constant
27.933,1.500000,constant
27.966,1.500000,constant
28.000,1.500000,constant
28.033,1.500000,constant
28.067,1.500000,constant
28.100,1.500000,constant
28.133,1.500000,constant
28.167,1.500000,constant
28.200,1.500000,constant
28.233,1.500000,constant
28.267,1.500000,constant
28.300,1.500000,constant
28.333,1.500000,constant
28.366,1.500000,constant
28.400,1.500000,constant
28.433,1.500000,constant
28.467,1.500000,constant
28.500,1.500000,constant
28.533,1.500000,constant
28.567,1.500000,constant
28.600,1.500000,constant
28.633,1.500000,constant
28.667,1.500000,constant
28.700,1.500000,constant
28.733,1.500000,constant
28.767,1.500000,constant
28.800,1.500000,constant
28.833,1.500000,constant
28.867,1.500000,constant
28.900,1.500000,constant
28.933,1.500000,constant
28.967,1.500000,constant
29.000,1.500000,constant
29.033,1.500000,constant
29.067,1.500000,constant
29.100,1.500000,constant
29.133,1.500000,constant
29.166,1.500000,constant
29.200,1.500000,constant
29.233,1.500000,constant
29.267,1.500000,constant
29.300,1.500000,constant
29.333,1.500000,constant
29.367,1.500000,constant
29.400,1.500000,constant
29.433,1.500000,constant
29.467,1.500000,constant
29.500,1.500000,constant
29.533,1.500000,constant
29.567,1.500000,constant
29.600,1.500000,constant
29.633,1.500000,constant
29.667,1.500000,constant
29.700,1.500000,constant
29.733,1.500000,constant
29.767,1.500000,constant
29.800,1.500000,constant
29.833,1.500000,constant
29.867,1.500000,constant
29.900,1.500000,constant
29.933,1.500000,constant
29.967,1.500000,constant
30.000,1.500000,constant
30.033,1.500000,constant
30.067,1.500000,constant
30.100,1.500000,constant
30.133,1.500000,constant
30.167,1.500000,constant
30.200,1.500000,constant
30.233,1.500000,constant
30.267,1.500000,constant
30.300,1.500000,constant
30.333,1.500000,constant
30.367,1.500000,constant
30.400,1.500000,constant
30.433,1.500000,constant
30.467,1.500000,constant
30.500,1.500000,constant
30.533,1.500000,constant
30.567,1.500000,constant
30.600,1.500000,constant
30.633,1.500000,constant
30.667,1.500000,constant
30.700,1.500000,constant
30.733,1.500000,constant
30.766,1.500000,constant
30.800,1.500000,constant
30.833,1.500000,constant
30.866,1.500000,constant
30.900,1.500000,constant
30.933,1.500000,constant
30.966,1.500000,constant
31.000,1.500000,constant
31.033,1.500000,constant
31.066,1.500000,constant
31.100,1.500000,constant
31.133,1.500000,constant
31.166,1.500000,constant
31.200,1.500000,constant
31.233,1.500000,constant
31.267,1.500000,constant
31.300,1.500000,constant
31.333,1.500000,constant
31.367,1.500000,constant
31.400,1.500000,constant
31.433,1.500000,constant
31.467,1.500000,constant
31.500,1.500000,constant
31.533,1.500000,constant
31.566,1.500000,constant
31.600,1.500000,constant
31.633,1.500000,constant
31.666,1.500000,constant
31.700,1.500000,constant
31.733,1.500000,constant
31.767,1.500000,constant
31.800,1.500000,constant
31.833,1.500000,constant
31.866,1.500000,constant
31.900,1.500000,constant
31.933,1.500000,constant
31.966,1.500000,constant
32.000,1.500000,constant
32.033,1.500000,constant
32.066,1.500000,constant
32.100,1.500000,constant
32.133,1.500000,constant
32.167,1.500000,constant
32.200,1.500000,constant
32.233,1.500000,constant
32.267,1.500000,constant
32.300,1.500000,constant
32.333,1.500000,constant
32.367,1.500000,constant
32.400,1.500000,constant
