D_true,v_rollout_mps,mu_reach,noise,seed,D_f,D_r,n_railed,railed_f,railed_r
1.8,13.0,4.4939,1,1,1.8393,1.6936,0,,
1.8,13.0,4.4939,1,2,1.8418,1.6954,1,,C
1.8,13.0,4.4939,1,3,1.8425,1.6969,0,,
1.8,13.0,4.4939,1,4,1.8429,1.6913,1,,C
1.8,15.0,5.983,0,0,1.8693,1.6835,0,,
1.8,15.0,5.983,1,0,1.8741,1.6853,0,,
1.8,15.0,5.983,1,1,1.873,1.6857,0,,
1.8,15.0,5.983,1,2,1.8728,1.6895,0,,
1.8,15.0,5.983,1,3,1.874,1.6871,0,,
1.8,15.0,5.983,1,4,1.8746,1.6871,0,,
1.8,20.0,10.6364,0,0,1.9128,1.687,0,,
1.8,20.0,10.6364,1,0,1.9162,1.6852,0,,
1.8,20.0,10.6364,1,1,1.9042,1.6886,0,,
1.8,20.0,10.6364,1,2,1.908,1.6899,0,,
1.8,20.0,10.6364,1,3,1.8944,1.6892,0,,
1.8,20.0,10.6364,1,4,1.9129,1.6883,0,,
