stamp_sec,fl_fy_gt,fl_fy_est,fr_fy_gt,fr_fy_est,rl_fy_gt,rl_fy_est,rr_fy_gt,rr_fy_est,front_sum_gt,front_sum_est,rear_sum_gt,rear_sum_est,total_sum_gt,total_sum_est
1788715105.4744887,-10.615669250488281,-10.057364476101654,-11.162901878356934,-10.560495681761758,-12.148036003112793,-11.998215928097638,-12.756560325622559,-12.51876881980988,-21.778571128845215,-20.61786015786341,-24.90459632873535,-24.516984747907518,-46.683167457580566,-45.13484490577093
1788715105.6394887,-10.471576690673828,-10.077643937308771,-11.003618240356445,-10.314734799623286,-12.180508613586426,-12.238687563680976,-12.862318992614746,-12.907144795258871,-21.475194931030273,-20.39237873693206,-25.042827606201172,-25.14583235893985,-46.518022537231445,-45.53821109587191
1788715105.8044887,-10.421124458312988,-9.794890355682567,-10.97830581665039,-10.330498279039784,-12.341846466064453,-12.164023645617924,-13.039738655090332,-12.877851226169184,-21.39943027496338,-20.12538863472235,-25.381585121154785,-25.04187487178711,-46.781015396118164,-45.16726350650946
1788715105.9694889,-9.469919204711914,-8.916989590219053,-9.921690940856934,-9.299539906398572,-11.028168678283691,-10.72497629103246,-11.576223373413086,-11.208002160798948,-19.391610145568848,-18.216529496617625,-22.604392051696777,-21.93297845183141,-41.996002197265625,-40.149507948449035
1788715106.1344888,-10.448805809020996,-9.976047471216717,-10.992427825927734,-10.42060916884666,-12.020711898803711,-11.902933679732506,-12.698677062988281,-12.570446885801124,-21.44123363494873,-20.396656640063377,-24.719388961791992,-24.47338056553363,-46.16062259674072,-44.87003720559701
1788715106.2994888,-9.598706245422363,-9.182930861687517,-10.100485801696777,-9.641415906059953,-11.063111305236816,-10.975086091012717,-11.664336204528809,-11.543164437526029,-19.69919204711914,-18.82434676774747,-22.727447509765625,-22.518250528538744,-42.426639556884766,-41.342597296286215
1788715106.4644887,-8.732770919799805,-8.21439511905304,-9.102928161621094,-8.482511471370538,-10.373766899108887,-10.049650035246788,-10.830683708190918,-10.399359078907604,-17.8356990814209,-16.69690659042358,-21.204450607299805,-20.449009114154393,-39.0401496887207,-37.14591570457797
1788715106.6294887,-10.13382625579834,-9.614537591540046,-10.681404113769531,-10.146622794390243,-11.587492942810059,-11.378199469104526,-12.20853042602539,-11.974539188428023,-20.81523036956787,-19.76116038593029,-23.79602336883545,-23.352738657532548,-44.61125373840332,-43.11389904346284
1788715106.7944887,-10.532031059265137,-10.022756483331973,-11.09717082977295,-10.553776511517308,-11.9905424118042,-11.955209260532417,-12.631269454956055,-12.442240021754838,-21.629201889038086,-20.57653299484928,-24.621811866760254,-24.397449282287255,-46.25101375579834,-44.973982277136535
1788715106.9594886,-10.66583251953125,-10.181634128988847,-11.24874496459961,-10.740118590061561,-12.043747901916504,-11.97894073277236,-12.742273330688477,-12.675933562107067,-21.91457748413086,-20.92175271905041,-24.78602123260498,-24.654874294879427,-46.70059871673584,-45.57662701392984
1788715107.1244888,-10.279196739196777,-9.65726137902592,-10.7571382522583,-10.07139284421877,-11.74190902709961,-11.566580810341144,-12.348893165588379,-12.124066986929469,-21.036334991455078,-19.72865422324469,-24.09080219268799,-23.690647797270614,-45.127137184143066,-43.4193020205153
